Y_1,X_1,Y_2,X_2,Y_3,X_3,Y_4,X_4,Y_5,X_5,Y_6,X_6,Y_7,X_7
-11.82589436,0.9990159273,-12.23726368,0.9990465045,-12.75687408,0.999083519,-13.05452347,0.9991049767,-13.38179779,0.9991304874,-13.58771229,0.9991487265,-13.88761139,0.9991810322
-11.43781471,0.9989857674,-11.85187435,0.9990183115,-12.37728596,0.9990579486,-12.6799593,0.9990810752,-13.01476097,0.9991083741,-13.22673035,0.9991280437,-13.53751278,0.9991627336
-11.06141567,0.9989545941,-11.47674465,0.9989893436,-12.00612831,0.9990315437,-12.31279945,0.9990563989,-12.65407372,0.9990855455,-12.87149811,0.9991068244,-13.1924057,0.9991438985
-10.69646168,0.9989227057,-11.11177063,0.9989594221,-11.64344215,0.9990042448,-11.95315456,0.9990307093,-12.29990292,0.9990620613,-12.52220631,0.9990847111,-12.85250282,0.9991245866
-10.34272861,0.9988897443,-10.75684929,0.9989286661,-11.28926182,0.9989762306,-11.60112476,0.999004364,-11.95240784,0.9990378618,-12.179039,0.9990620017,-12.51800442,0.9991047382
-9.999948502,0.9988560677,-10.41183186,0.998897016,-10.94357491,0.9989473224,-11.25676632,0.9989771247,-11.6116991,0.9990130067,-11.84213448,0.9990387559,-12.18907261,0.9990845323
-9.667881966,0.9988214374,-10.07658482,0.9988643527,-10.60637569,0.9989176393,-10.92013264,0.9989490509,-11.27788925,0.9989871979,-11.5116291,0.9990147948,-11.86586666,0.999063611
-9.346258163,0.9987857342,-9.750940323,0.9988309741,-10.2776165,0.9988870025,-10.59124088,0.9989202023,-10.95105076,0.9989606142,-11.18762302,0.9989901185,-11.5485096,0.999042213
-9.034824371,0.9987493753,-9.43474102,0.9987965822,-9.957255363,0.9988555312,-10.27010727,0.9988903999,-10.63125229,0.9989333749,-10.87020969,0.9989648461,-11.23712063,0.9990203381
-8.733310699,0.998711884,-9.12780571,0.9987612963,-9.645220757,0.9988231063,-9.956716537,0.9988598824,-10.31853104,0.9989053011,-10.55945396,0.9989388585,-10.93178749,0.9989979863
-8.441459656,0.9986734986,-8.829957008,0.998724997,-9.341436386,0.9987896085,-9.651045799,0.9988285303,-10.01291752,0.9988765717,-10.25541019,0.998912096,-10.63259029,0.9989750981
