"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
12, 3.750000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
13, 4.062500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
14, 4.375000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
15, 4.687500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
16, 5.000000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
17, 5.312500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426664e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
18, 5.625000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426664e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
19, 5.937500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
20, 6.250000000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
21, 6.562500000000000e-01, 0.000000000000000e+00, 1.175562094929381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 2.432007744654863e+06, 9.728030978619450e+05, 2.883350736547188e+02, 0.000000000000000e+00, 9.170886081022819e-02, 1.000000000000000e+01, 1.599016146426665e+00, 0.000000000000000e+00, -8.201141318435156e+04, 1.117690012710453e+00
