"C3H8","EDC<psiChemistryCombustion>:kappa","N2","O2","Qdot","T","U:0","U:1","U:2","Ux","Uy","Uz","alphat","epsilon","k","mag(U)","nut","p","rDeltaT","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.15206,0,0.64714,0.2008,0,294.15,15.872,0.092987,-7.1378e-14,15.872,0.092987,-7.1378e-14,0.0064176,819.74,5.1932,15.872,0.0050843,1.0132e+05,43806,1.2621,1,0.0061016,0.363,0.0061016,0
0.15157,0,0.64752,0.20091,0,294.15,15.85,0.094184,-5.8847e-14,15.85,0.094184,-5.8847e-14,0.0063659,821.03,5.1987,15.85,0.0050441,1.0132e+05,43749,1.2619,1,0.0062068,0.363,0.0062068,0
0.15108,0,0.64789,0.20103,0,294.15,15.828,0.095382,-4.6317e-14,15.828,0.095382,-4.6317e-14,0.0063142,822.33,5.2043,15.828,0.005004,1.0132e+05,43692,1.2617,1,0.006312,0.363,0.006312,0
0.15059,0,0.64827,0.20115,0,294.15,15.806,0.09658,-3.3787e-14,15.806,0.09658,-3.3787e-14,0.0062624,823.62,5.2098,15.806,0.0049639,1.0132e+05,43635,1.2615,1,0.0064172,0.363,0.0064172,0
0.1501,0,0.64864,0.20126,0,294.15,15.784,0.097778,-2.1256e-14,15.784,0.097778,-2.1256e-14,0.0062107,824.91,5.2154,15.784,0.0049237,1.0132e+05,43578,1.2612,1,0.0065224,0.363,0.0065224,0
0.14961,0,0.64901,0.20138,0,294.15,15.761,0.098976,-8.7261e-15,15.761,0.098976,-8.7261e-15,0.0061589,826.21,5.221,15.762,0.0048836,1.0132e+05,43521,1.261,1,0.0066276,0.363,0.0066276,0
0.14912,0,0.64939,0.20149,0,294.15,15.739,0.10017,3.8042e-15,15.739,0.10017,3.8042e-15,0.0061072,827.5,5.2265,15.74,0.0048435,1.0132e+05,43464,1.2608,1,0.0067328,0.363,0.0067328,0
0.14863,0,0.64976,0.20161,0,294.15,15.717,0.10137,1.6334e-14,15.717,0.10137,1.6334e-14,0.0060555,828.79,5.2321,15.718,0.0048033,1.0132e+05,43407,1.2606,1,0.006838,0.363,0.006838,0
0.14814,0,0.65013,0.20173,0,294.15,15.695,0.10257,2.8865e-14,15.695,0.10257,2.8865e-14,0.0060037,830.09,5.2376,15.696,0.0047632,1.0132e+05,43350,1.2604,1,0.0069432,0.363,0.0069432,0
0.14762,0,0.65053,0.20185,0,294.15,15.672,0.1037,4.1266e-14,15.672,0.1037,4.1266e-14,0.0059543,831.29,5.2429,15.672,0.0047248,1.0132e+05,43289,1.2601,1,0.0070484,0.363,0.0070484,0
0.14701,0,0.651,0.20199,0,294.15,15.644,0.10461,5.3228e-14,15.644,0.10461,5.3228e-14,0.0059124,832.16,5.2469,15.645,0.0046926,1.0132e+05,43216,1.2599,1,0.0071536,0.363,0.0071536,0
0.1464,0,0.65146,0.20214,0,294.14,15.617,0.10552,6.519e-14,15.617,0.10552,6.519e-14,0.0058706,833.04,5.251,15.617,0.0046604,1.0132e+05,43142,1.2596,1,0.0072588,0.363,0.0072588,0
0.14579,0,0.65193,0.20228,0,294.14,15.589,0.10643,7.7152e-14,15.589,0.10643,7.7152e-14,0.0058288,833.92,5.2551,15.589,0.0046281,1.0132e+05,43069,1.2593,1,0.007364,0.363,0.007364,0
0.14518,0,0.6524,0.20243,0,294.14,15.561,0.10735,8.9114e-14,15.561,0.10735,8.9114e-14,0.005787,834.8,5.2592,15.562,0.0045959,1.0132e+05,42996,1.259,1,0.0074692,0.363,0.0074692,0
0.14456,0,0.65286,0.20257,0,294.14,15.534,0.10826,1.0108e-13,15.534,0.10826,1.0108e-13,0.0057452,835.68,5.2633,15.534,0.0045637,1.0132e+05,42923,1.2587,1,0.0075744,0.363,0.0075744,0
0.14395,0,0.65333,0.20272,0,294.14,15.506,0.10917,1.1304e-13,15.506,0.10917,1.1304e-13,0.0057033,836.55,5.2674,15.506,0.0045314,1.0132e+05,42849,1.2585,1,0.0076796,0.363,0.0076796,0
0.14334,0,0.6538,0.20286,0,294.14,15.478,0.11008,1.25e-13,15.478,0.11008,1.25e-13,0.0056615,837.43,5.2715,15.479,0.0044992,1.0132e+05,42776,1.2582,1,0.0077848,0.363,0.0077848,0
0.14273,0,0.65426,0.20301,0,294.14,15.451,0.11099,1.3696e-13,15.451,0.11099,1.3696e-13,0.0056197,838.31,5.2756,15.451,0.004467,1.0132e+05,42703,1.2579,1,0.00789,0.363,0.00789,0
0.14212,0,0.65473,0.20315,0,294.14,15.423,0.1119,1.4892e-13,15.423,0.1119,1.4892e-13,0.0055779,839.19,5.2797,15.423,0.0044347,1.0132e+05,42630,1.2576,1,0.0079952,0.363,0.0079952,0
0.14151,0,0.6552,0.2033,0,294.14,15.395,0.11281,1.6089e-13,15.395,0.11281,1.6089e-13,0.0055361,840.07,5.2838,15.396,0.0044025,1.0132e+05,42556,1.2574,1,0.0081004,0.363,0.0081004,0
0.14089,0,0.65567,0.20344,0,294.14,15.368,0.11372,1.7285e-13,15.368,0.11372,1.7285e-13,0.0054942,840.94,5.2879,15.368,0.0043703,1.0132e+05,42483,1.2571,1,0.0082056,0.363,0.0082056,0
0.14028,0,0.65614,0.20359,0,294.14,15.34,0.11462,1.8519e-13,15.34,0.11462,1.8519e-13,0.0054528,841.78,5.2918,15.34,0.0043383,1.0132e+05,42409,1.2568,1,0.0083108,0.363,0.0083108,0
0.13955,0,0.65669,0.20376,0,294.13,15.307,0.11519,2.0475e-13,15.307,0.11519,2.0475e-13,0.005419,841.86,5.2925,15.307,0.0043125,1.0132e+05,42321,1.2565,1,0.008416,0.363,0.008416,0
0.13883,0,0.65724,0.20393,0,294.13,15.274,0.11575,2.2432e-13,15.274,0.11575,2.2432e-13,0.0053853,841.93,5.2932,15.274,0.0042867,1.0132e+05,42232,1.2562,1,0.0085212,0.363,0.0085212,0
0.1381,0,0.6578,0.2041,0,294.13,15.241,0.11632,2.4389e-13,15.241,0.11632,2.4389e-13,0.0053515,842.01,5.294,15.241,0.0042608,1.0132e+05,42143,1.2558,1,0.0086264,0.363,0.0086264,0
0.13738,0,0.65835,0.20427,0,294.13,15.208,0.11689,2.6346e-13,15.208,0.11689,2.6346e-13,0.0053177,842.08,5.2947,15.209,0.004235,1.0132e+05,42055,1.2555,1,0.0087316,0.363,0.0087316,0
0.13665,0,0.6589,0.20445,0,294.13,15.175,0.11745,2.8302e-13,15.175,0.11745,2.8302e-13,0.0052839,842.16,5.2954,15.176,0.0042092,1.0132e+05,41966,1.2552,1,0.0088368,0.363,0.0088368,0
0.13593,0,0.65945,0.20462,0,294.13,15.142,0.11802,3.0259e-13,15.142,0.11802,3.0259e-13,0.0052502,842.23,5.2962,15.143,0.0041833,1.0132e+05,41878,1.2549,1,0.008942,0.363,0.008942,0
0.1352,0,0.66001,0.20479,0,294.13,15.109,0.11859,3.2216e-13,15.109,0.11859,3.2216e-13,0.0052164,842.31,5.2969,15.11,0.0041575,1.0132e+05,41789,1.2545,1,0.0090472,0.363,0.0090472,0
0.13448,0,0.66056,0.20496,0,294.13,15.077,0.11915,3.4172e-13,15.077,0.11915,3.4172e-13,0.0051826,842.39,5.2976,15.077,0.0041317,1.0132e+05,41700,1.2542,1,0.0091524,0.363,0.0091524,0
0.13376,0,0.66111,0.20513,0,294.13,15.044,0.11972,3.6129e-13,15.044,0.11972,3.6129e-13,0.0051488,842.46,5.2984,15.044,0.0041058,1.0132e+05,41612,1.2539,1,0.0092576,0.363,0.0092576,0
0.13303,0,0.66167,0.2053,0,294.13,15.011,0.12029,3.8086e-13,15.011,0.12029,3.8086e-13,0.005115,842.54,5.2991,15.011,0.00408,1.0132e+05,41523,1.2536,1,0.0093628,0.363,0.0093628,0
0.13231,0,0.66222,0.20547,0,294.12,14.978,0.12086,4.0043e-13,14.978,0.12086,4.0043e-13,0.0050813,842.61,5.2998,14.978,0.0040542,1.0132e+05,41435,1.2532,1,0.009468,0.363,0.009468,0
0.13158,0,0.66277,0.20565,0,294.12,14.945,0.12142,4.1999e-13,14.945,0.12142,4.1999e-13,0.0050475,842.69,5.3005,14.946,0.0040283,1.0132e+05,41346,1.2529,1,0.0095732,0.363,0.0095732,0
0.13078,0,0.66338,0.20583,0,294.12,14.909,0.12169,4.3036e-13,14.909,0.12169,4.3036e-13,0.0050178,841.88,5.2973,14.909,0.0040058,1.0132e+05,41247,1.2526,1,0.0096784,0.363,0.0096784,0
0.12996,0,0.66401,0.20603,0,294.12,14.871,0.12187,4.379e-13,14.871,0.12187,4.379e-13,0.0049894,840.81,5.2927,14.872,0.0039842,1.0132e+05,41145,1.2522,1,0.0097836,0.363,0.0097836,0
0.12914,0,0.66463,0.20622,0,294.12,14.834,0.12205,4.4543e-13,14.834,0.12205,4.4543e-13,0.004961,839.73,5.2882,14.835,0.0039626,1.0132e+05,41043,1.2518,1,0.0098888,0.363,0.0098888,0
0.12832,0,0.66526,0.20642,0,294.12,14.797,0.12223,4.5297e-13,14.797,0.12223,4.5297e-13,0.0049326,838.65,5.2836,14.797,0.0039411,1.0132e+05,40941,1.2515,1,0.009994,0.363,0.009994,0
0.1275,0,0.66589,0.20661,0,294.12,14.76,0.1224,4.605e-13,14.76,0.1224,4.605e-13,0.0049043,837.58,5.2791,14.76,0.0039195,1.0132e+05,40840,1.2511,1,0.010099,0.363,0.010099,0
0.12668,0,0.66651,0.20681,0,294.12,14.722,0.12258,4.6804e-13,14.722,0.12258,4.6804e-13,0.0048759,836.5,5.2746,14.723,0.0038979,1.0132e+05,40738,1.2507,1,0.010204,0.363,0.010204,0
0.12586,0,0.66714,0.207,0,294.11,14.685,0.12276,4.7558e-13,14.685,0.12276,4.7558e-13,0.0048475,835.43,5.27,14.685,0.0038764,1.0132e+05,40636,1.2504,1,0.01031,0.363,0.01031,0
0.12504,0,0.66777,0.2072,0,294.11,14.648,0.12294,4.8311e-13,14.648,0.12294,4.8311e-13,0.0048191,834.35,5.2655,14.648,0.0038548,1.0132e+05,40534,1.25,1,0.010415,0.363,0.010415,0
0.12422,0,0.66839,0.20739,0,294.11,14.61,0.12311,4.9065e-13,14.61,0.12311,4.9065e-13,0.0047907,833.27,5.261,14.611,0.0038332,1.0132e+05,40432,1.2496,1,0.01052,0.363,0.01052,0
0.1234,0,0.66902,0.20758,0,294.11,14.573,0.12329,4.9818e-13,14.573,0.12329,4.9818e-13,0.0047623,832.2,5.2564,14.573,0.0038117,1.0132e+05,40330,1.2493,1,0.010625,0.363,0.010625,0
0.12258,0,0.66965,0.20778,0,294.11,14.536,0.12347,5.0572e-13,14.536,0.12347,5.0572e-13,0.0047339,831.12,5.2519,14.536,0.0037901,1.0132e+05,40228,1.2489,1,0.01073,0.363,0.01073,0
0.12175,0,0.67027,0.20797,0,294.11,14.498,0.12365,5.1325e-13,14.498,0.12365,5.1325e-13,0.0047055,830.05,5.2473,14.499,0.0037685,1.0132e+05,40126,1.2485,1,0.010836,0.363,0.010836,0
0.12091,0,0.67092,0.20817,0,294.11,14.46,0.12367,5.1618e-13,14.46,0.12367,5.1618e-13,0.0046781,828.45,5.2402,14.46,0.0037477,1.0132e+05,40020,1.2482,1,0.010941,0.363,0.010941,0
0.12001,0,0.67161,0.20839,0,294.11,14.419,0.12343,5.1128e-13,14.419,0.12343,5.1128e-13,0.0046522,825.97,5.2288,14.419,0.0037281,1.0132e+05,39907,1.2478,1,0.011046,0.363,0.011046,0
0.11911,0,0.67229,0.2086,0,294.11,14.378,0.1232,5.0638e-13,14.378,0.1232,5.0638e-13,0.0046264,823.48,5.2173,14.379,0.0037086,1.0132e+05,39794,1.2474,1,0.011151,0.363,0.011151,0
0.11821,0,0.67298,0.20881,0,294.1,14.337,0.12296,5.0149e-13,14.337,0.12296,5.0149e-13,0.0046006,821,5.2059,14.338,0.003689,1.0132e+05,39682,1.247,1,0.011256,0.363,0.011256,0
0.11732,0,0.67366,0.20902,0,294.1,14.296,0.12272,4.9659e-13,14.296,0.12272,4.9659e-13,0.0045748,818.52,5.1945,14.297,0.0036694,1.0132e+05,39569,1.2466,1,0.011362,0.363,0.011362,0
0.11642,0,0.67434,0.20924,0,294.1,14.256,0.12249,4.917e-13,14.256,0.12249,4.917e-13,0.004549,816.04,5.183,14.256,0.0036499,1.0132e+05,39456,1.2462,1,0.011467,0.363,0.011467,0
0.11552,0,0.67503,0.20945,0,294.1,14.215,0.12225,4.868e-13,14.215,0.12225,4.868e-13,0.0045232,813.56,5.1716,14.215,0.0036303,1.0132e+05,39344,1.2458,1,0.011572,0.363,0.011572,0
0.11463,0,0.67571,0.20966,0,294.1,14.174,0.12201,4.819e-13,14.174,0.12201,4.819e-13,0.0044974,811.08,5.1601,14.174,0.0036108,1.0132e+05,39231,1.2454,1,0.011677,0.363,0.011677,0
0.11373,0,0.6764,0.20987,0,294.1,14.133,0.12178,4.7701e-13,14.133,0.12178,4.7701e-13,0.0044715,808.59,5.1487,14.134,0.0035912,1.0132e+05,39118,1.245,1,0.011782,0.363,0.011782,0
0.11283,0,0.67708,0.21008,0,294.1,14.092,0.12154,4.7211e-13,14.092,0.12154,4.7211e-13,0.0044457,806.11,5.1372,14.093,0.0035716,1.0132e+05,39005,1.2446,1,0.011888,0.363,0.011888,0
0.11193,0,0.67777,0.2103,0,294.1,14.051,0.1213,4.6721e-13,14.051,0.1213,4.6721e-13,0.0044199,803.63,5.1258,14.052,0.0035521,1.0132e+05,38893,1.2442,1,0.011993,0.363,0.011993,0
