x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
0.8197475075721741,-0.0112753687426447,0.0,0.7240980863571167,0.0,0.0,0.0,156110.609375,0.0,62444.24609375,300.4176025390625,0.0,0.0426582731306552,0.0,0.0,0.0,1.847891508077737e-05,0.0028884424827992,0.00018312674365,0.0,-0.0,0.1066947802901268,0.0,53004.6171875,-0.0003024525940418,75.14028930664062,2846.195068359375,1.0139048099517822
0.8231631517410278,-0.0110588772222399,0.0,0.7241027355194092,0.0,0.0,0.0,156111.6875,0.0,62444.671875,300.417724609375,0.0,0.0439233444631099,0.0,0.0,0.0,1.847892053774558e-05,0.0028811746742576,0.0001825703075155,0.0,-0.0,0.1066659167408943,0.0,52871.125,-0.0003013797104358,75.27892303466797,2805.949951171875,1.0140562057495115
0.8265314698219299,-0.0108454897999763,0.0,0.7241074442863464,0.0,0.0,0.0,156112.75,0.0,62445.09765625,300.4178161621094,0.0,0.0451813414692878,0.0,0.0,0.0,1.847892599471379e-05,0.0028735066298395,0.0001820061006583,0.0,-0.0,0.1066280752420425,0.0,52730.30859375,-0.0003072880208492,75.41695404052734,2765.876220703125,1.0142053365707395
0.8298526406288147,-0.0106351729482412,0.0,0.7241120934486389,0.0,0.0,0.0,156113.8125,0.0,62445.5234375,300.4179382324219,0.0,0.0464341267943382,0.0,0.0,0.0,1.8478931451682e-05,0.002865495160222,0.000181436917046,0.0,-0.0,0.106582261621952,0.0,52583.203125,-0.0003625229001045,75.55437469482422,2725.988037109375,1.0143524408340454
0.8331267237663269,-0.0104278940707445,0.0,0.7241167426109314,0.0,0.0,0.0,156114.859375,0.0,62445.9453125,300.41802978515625,0.0,0.0476833321154117,0.0,0.0,0.0,1.847893508966081e-05,0.0028572743758559,0.0001808705419534,0.0,-0.0,0.1065309718251228,0.0,52432.28515625,-0.0006889104843139,75.69127655029297,2686.299560546875,1.0144973993301392
0.8363540172576904,-0.010223620571196,0.0,0.7241213917732239,0.0,0.0,0.0,156115.921875,0.0,62446.3671875,300.4181213378906,0.0,0.048930387943983,0.0,0.0,0.0,1.847894054662902e-05,0.0028489660471677,0.0001803138729883,0.0,-0.0,0.1064764484763145,0.0,52279.7734375,-0.002250213176012,75.82760620117188,2646.82421875,1.014640212059021
0.8395348191261292,-0.0100223217159509,0.0,0.7241260409355164,0.0,0.0,0.0,156116.96875,0.0,62446.7890625,300.4182434082031,0.0,0.0501766726374626,0.0,0.0,0.0,1.847894600359723e-05,0.002840656787157,0.0001797716686269,0.0,-0.0,0.1064203307032585,0.0,52127.26171875,-0.0061425752937793,75.9634017944336,2607.574462890625,1.014780879020691
0.8426691889762878,-0.0098239639773964,0.0,0.7241306900978088,0.0,0.0,0.0,156118.03125,0.0,62447.2109375,300.4183349609375,0.0,0.0514235943555831,0.0,0.0,0.0,1.847894964157604e-05,0.0028325286693871,0.0001792547263903,0.0,-0.0,0.1063660606741905,0.0,51978.08984375,-0.0069439113140106,76.09867095947266,2568.56298828125,1.0149195194244385
0.8457575440406799,-0.0096285184845328,0.0,0.7241353392601013,0.0,0.0,0.0,156119.078125,0.0,62447.6328125,300.41845703125,0.0,0.052672304213047,0.0,0.0,0.0,1.8478955098544247e-05,0.0028247535228729,0.0001787731889635,0.0,-0.0,0.1063168942928314,0.0,51835.41015625,-0.0018303766846656,76.23342895507812,2529.801513671875,1.015056014060974
0.8488000631332397,-0.0094359535723924,0.0,0.7241399884223938,0.0,0.0,0.0,156120.140625,0.0,62448.05859375,300.4185485839844,0.0,0.0539234206080436,0.0,0.0,0.0,1.8478960555512455e-05,0.0028161585796624,0.0001782444160198,0.0,-0.0,0.1062507852911949,0.0,51677.69140625,-0.0009155385196208,76.36787414550781,2491.301513671875,1.0151891708374023
0.8517971038818359,-0.0092462543398141,0.0,0.7241446375846863,0.0,0.0,0.0,156121.203125,0.0,62448.48046875,300.41864013671875,0.0,0.0551763363182544,0.0,0.0,0.0,1.847896601248067e-05,0.0028052371926605,0.0001775398704921,0.0,-0.0,0.1061392277479171,0.0,51477.25390625,-0.0013471469283103,76.50263214111328,2453.073486328125,1.0153160095214844
0.8547489047050476,-0.0090594608336687,0.0,0.7241493463516235,0.0,0.0,0.0,156122.265625,0.0,62448.90625,300.41876220703125,0.0,0.0564265958964824,0.0,0.0,0.0,1.847896965045948e-05,0.0027975644916296,0.0001770141243468,0.0,-0.0,0.1060880571603775,0.0,51336.39453125,-0.0008224584162235,76.63771057128906,2415.12744140625,1.015445590019226
0.8576557636260986,-0.0088755497708916,0.0,0.7241539359092712,0.0,0.0,0.0,156123.3125,0.0,62449.328125,300.4188537597656,0.0,0.0576726011931896,0.0,0.0,0.0,1.8478975107427686e-05,0.0027900510467588,0.0001765013294061,0.0,-0.0,0.1060385555028915,0.0,51198.46484375,-0.0009140707552433,76.77246856689453,2377.47314453125,1.015573501586914
0.8605180978775024,-0.0086944950744509,0.0,0.7241585850715637,0.0,0.0,0.0,156124.359375,0.0,62449.74609375,300.4189758300781,0.0,0.0589149817824363,0.0,0.0,0.0,1.8478980564395897e-05,0.0027822479605674,0.0001759748847689,0.0,-0.0,0.1059821471571922,0.0,51055.22265625,-0.0011011883616447,76.9068832397461,2340.1201171875,1.0156995058059692
0.8633361458778381,-0.0085162706673145,0.0,0.7241631746292114,0.0,0.0,0.0,156125.421875,0.0,62450.1640625,300.4190673828125,0.0,0.0601540505886077,0.0,0.0,0.0,1.8478986021364108e-05,0.0027741396334022,0.0001754326367517,0.0,-0.0,0.1059185341000557,0.0,50906.38671875,-0.0012523643672466,77.04102325439453,2303.07666015625,1.015823483467102
0.8661103248596191,-0.0083408514037728,0.0,0.7241677641868591,0.0,0.0,0.0,156126.46875,0.0,62450.5859375,300.419189453125,0.0,0.0613904483616352,0.0,0.0,0.0,1.8478989659342915e-05,0.0027658334001898,0.0001748805516399,0.0,-0.0,0.1058497354388237,0.0,50753.91796875,-0.0013447925448417,77.17488098144531,2266.351318359375,1.0159454345703125
0.8688409328460693,-0.0081682102754712,0.0,0.7241723537445068,0.0,0.0,0.0,156127.5,0.0,62451.00390625,300.4192810058594,0.0,0.0626246556639671,0.0,0.0,0.0,1.8478995116311125e-05,0.0027574233245104,0.0001743239408824,0.0,-0.0,0.1057775467634201,0.0,50599.546875,-0.0013901554048061,77.30842590332031,2229.95166015625,1.01606547832489
0.8715283870697021,-0.0079983230680227,0.0,0.7241769433021545,0.0,0.0,0.0,156128.546875,0.0,62451.41796875,300.4194030761719,0.0,0.0638570562005043,0.0,0.0,0.0,1.8479000573279336e-05,0.0027489606291055,0.0001737655402394,0.0,-0.0,0.1057029440999031,0.0,50444.21484375,-0.0014089345932006,77.44172668457031,2193.884765625,1.0161834955215454
0.8741729855537415,-0.0078311627730727,0.0,0.7241814732551575,0.0,0.0,0.0,156129.59375,0.0,62451.8359375,300.41949462890625,0.0,0.0650879219174385,0.0,0.0,0.0,1.8479006030247547e-05,0.0027404632419347,0.0001732060336507,0.0,-0.0,0.1056262776255607,0.0,50288.24609375,-0.0014135092496871,77.57475280761719,2158.157470703125,1.0162997245788574
0.8767752051353455,-0.0076667051762342,0.0,0.7241860628128052,0.0,0.0,0.0,156130.625,0.0,62452.25,300.41961669921875,0.0,0.066317468881607,0.0,0.0,0.0,1.847901148721576e-05,0.0027319323271512,0.0001726451300783,0.0,-0.0,0.1055475771427154,0.0,50131.66015625,-0.0014126561582088,77.70753479003906,2122.776123046875,1.0164140462875366
0.8793354034423828,-0.0075049237348139,0.0,0.7241906523704529,0.0,0.0,0.0,156131.671875,0.0,62452.66796875,300.4197082519531,0.0,0.0675459057092666,0.0,0.0,0.0,1.8479015125194564e-05,0.0027233625296503,0.0001720821455819,0.0,-0.0,0.1054667457938194,0.0,49974.36328125,-0.0014071203768253,77.840087890625,2087.746826171875,1.0165265798568726
0.8818539381027222,-0.0073457923717796,0.0,0.7241951823234558,0.0,0.0,0.0,156132.703125,0.0,62453.08203125,300.4198303222656,0.0,0.0687734335660934,0.0,0.0,0.0,1.8479020582162772e-05,0.0027147466316819,0.0001715162652544,0.0,-0.0,0.1053836420178413,0.0,49816.22265625,-0.0013985075056552,77.97238159179688,2053.07470703125,1.016637086868286
0.8843312859535217,-0.0071892850100994,0.0,0.7241997122764587,0.0,0.0,0.0,156133.75,0.0,62453.5,300.4199523925781,0.0,0.0700002536177635,0.0,0.0,0.0,1.8479026039130982e-05,0.0027060762513428,0.0001709465723251,0.0,-0.0,0.1052981093525886,0.0,49657.078125,-0.0013872869312763,78.10447692871094,2018.7650146484373,1.016745924949646
0.8867678642272949,-0.007035375572741,0.0,0.7242043018341064,0.0,0.0,0.0,156134.78125,0.0,62453.9140625,300.4200439453125,0.0,0.07122652977705,0.0,0.0,0.0,1.84790314960992e-05,0.0026973388157784,0.0001703718153294,0.0,-0.0,0.1052099019289016,0.0,49496.703125,-0.001373391598463,78.23635864257812,1984.822265625,1.016852855682373
0.8891639709472656,-0.0068840379826724,0.0,0.7242088317871094,0.0,0.0,0.0,156135.8125,0.0,62454.328125,300.420166015625,0.0,0.0724523514509201,0.0,0.0,0.0,1.8479036953067407e-05,0.002688514534384,0.0001697901752777,0.0,-0.0,0.1051186323165893,0.0,49334.734375,-0.0013623870909214,78.3680191040039,1951.25048828125,1.0169579982757568
