x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
1.4551659432981978e-06,0.0003078423615079,0.0,0.7277433276176453,0.0,0.0,0.0,156921.21875,0.0,62768.484375,300.46490478515625,0.0,1.0007585287094116,0.0,0.0,0.0,1.848115243774373e-05,8.075710866251029e-06,0.0008307926473207,0.0,-0.0,0.0516127049922943,0.0,-15213.8642578125,-780.9242553710938,87.69100189208984,29.878135681152344,1.0224272012710571
1.7818283595261164e-06,0.0003397097170818,0.0,0.7277424931526184,0.0,0.0,0.0,156921.015625,0.0,62768.40625,300.4648742675781,0.0,1.0005288124084473,0.0,0.0,0.0,1.8481150618754327e-05,9.615680028218776e-06,0.0008892393670976,0.0,-0.0,0.053391758352518,0.0,-16284.3505859375,-757.9237670898438,87.49293518066406,30.543439865112305,1.0224225521087646
2.15203499465133e-06,0.0003722874389495,0.0,0.727741539478302,0.0,0.0,0.0,156920.8125,0.0,62768.3203125,300.4648742675781,0.0,1.000277400016785,0.0,0.0,0.0,1.8481150618754327e-05,1.1341599019942803e-05,0.0009492400567978,0.0,-0.0,0.0551575347781181,0.0,-17383.349609375,-733.4139404296875,87.29728698730469,31.223461151123047,1.02241849899292
2.568986474216217e-06,0.0004055912722833,0.0,0.7277405261993408,0.0,0.0,0.0,156920.578125,0.0,62768.23046875,300.46484375,0.0,1.0000030994415283,0.0,0.0,0.0,1.8481148799764924e-05,1.3268841030367184e-05,0.0010108476271852,0.0,-0.0,0.0569127053022384,0.0,-18511.837890625,-708.2533569335938,87.10415649414062,31.918529510498047,1.0224151611328125
3.036099769815337e-06,0.0004396373115014,0.0,0.7277393937110901,0.0,0.0,0.0,156920.328125,0.0,62768.12890625,300.4648132324219,0.0,0.9997044801712036,0.0,0.0,0.0,1.8481148799764924e-05,1.5414023437188007e-05,0.0010741173755377,0.0,-0.0,0.0586596727371215,0.0,-19670.837890625,-683.3944091796875,86.91365814208984,32.62897872924805,1.0224123001098633
3.5570235468185274e-06,0.0004744420584756,0.0,0.7277382016181946,0.0,0.0,0.0,156920.046875,0.0,62768.01953125,300.4648132324219,0.0,0.9993800520896912,0.0,0.0,0.0,1.848114698077552e-05,1.779510967025999e-05,0.0011391065781936,0.0,-0.0,0.0604006387293338,0.0,-20861.416015625,-659.7714233398438,86.72590637207031,33.35515213012695,1.022410273551941
4.1356533984071575e-06,0.0005100223352201,0.0,0.7277368307113647,0.0,0.0,0.0,156919.75,0.0,62767.8984375,300.4647827148437,0.0,0.9990282654762268,0.0,0.0,0.0,1.848114698077552e-05,2.043152016995009e-05,0.0012058751890435,0.0,-0.0,0.0621376149356365,0.0,-22084.68359375,-638.192626953125,86.541015625,34.09739685058594,1.022408962249756
4.776150035468163e-06,0.0005463953129947,0.0,0.7277354001998901,0.0,0.0,0.0,156919.421875,0.0,62767.76953125,300.4647521972656,0.0,0.998647391796112,0.0,0.0,0.0,1.848114516178612e-05,2.3344260625890456e-05,0.0012744856067001,0.0,-0.0,0.0638724714517593,0.0,-23341.796875,-619.2621459960938,86.35912322998047,34.8560791015625,1.0224084854125977
5.482955657498678e-06,0.0005835785996168,0.0,0.7277339100837708,0.0,0.0,0.0,156919.078125,0.0,62767.6328125,300.4647216796875,0.0,0.9982357025146484,0.0,0.0,0.0,1.8481143342796717e-05,2.655604839674197e-05,0.0013450029073283,0.0,-0.0,0.065606951713562,0.0,-24633.970703125,-603.3408203125,86.18034362792969,35.631561279296875,1.0224087238311768
6.2608150983578525e-06,0.0006215901812538,0.0,0.727732241153717,0.0,0.0,0.0,156918.703125,0.0,62767.48046875,300.4646911621094,0.0,0.997791349887848,0.0,0.0,0.0,1.848114152380731e-05,3.0091459848335944e-05,0.0014174948446452,0.0,-0.0,0.0673426911234855,0.0,-25962.46484375,-590.5474243164062,86.00482940673828,36.42422866821289,1.0224106311798096
7.114794243534561e-06,0.0006604483933188,0.0,0.727730393409729,0.0,0.0,0.0,156918.296875,0.0,62767.3203125,300.46466064453125,0.0,0.9973122477531432,0.0,0.0,0.0,1.8481139704817903e-05,3.397708496777341e-05,0.0014920321991667,0.0,-0.0,0.0690812394022941,0.0,-27328.599609375,-580.7957153320312,85.83272552490234,37.23446273803711,1.02242112159729
8.050305950746406e-06,0.0007001719204708,0.0,0.7277284860610962,0.0,0.0,0.0,156917.859375,0.0,62767.14453125,300.4646301269531,0.0,0.9967963695526124,0.0,0.0,0.0,1.8481137885828502e-05,3.824170926236548e-05,0.0015686883125454,0.0,-0.0,0.0708240866661071,0.0,-28733.751953125,-573.8483276367188,85.66417694091797,38.06266403198242,1.0224324464797974
9.073130968317857e-06,0.0007407800294458,0.0,0.727726399898529,0.0,0.0,0.0,156917.390625,0.0,62766.95703125,300.4645690917969,0.0,0.9962413907051086,0.0,0.0,0.0,1.84811360668391e-05,4.2916475649690256e-05,0.0016475402517244,0.0,-0.0,0.072572648525238,0.0,-30179.359375,-569.378662109375,85.49935150146484,38.90924453735352,1.022444486618042
1.0189443855779244e-05,0.0007822922780178,0.0,0.7277241945266724,0.0,0.0,0.0,156916.890625,0.0,62766.75390625,300.46453857421875,0.0,0.9956449270248412,0.0,0.0,0.0,1.8481134247849692e-05,4.803513002116233e-05,0.0017286676447838,0.0,-0.0,0.0743282884359359,0.0,-31666.921875,-567.017578125,85.3384780883789,39.774898529052734,1.0224716663360596
1.1405859368096571e-05,0.0008247292716987,0.0,0.7277217507362366,0.0,0.0,0.0,156916.34375,0.0,62766.5390625,300.4644775390625,0.0,0.9950044751167296,0.0,0.0,0.0,1.848113242886029e-05,5.363417221815325e-05,0.0018121546600013,0.0,-0.0,0.0760923624038696,0.0,-33198.0234375,-566.4156494140625,85.18177032470703,40.65951919555664,1.0224578380584717
1.2729390618915204e-05,0.0008681102772243,0.0,0.7277191877365112,0.0,0.0,0.0,156915.765625,0.0,62766.3046875,300.4644470214844,0.0,0.9943172931671144,0.0,0.0,0.0,1.8481130609870888e-05,5.975297972327098e-05,0.0018980854656547,0.0,-0.0,0.0778661146759986,0.0,-34774.24609375,-567.26708984375,85.02940368652344,41.56216430664063,1.022419571876526
1.4167489098326769e-05,0.0009124538628384,0.0,0.7277164459228516,0.0,0.0,0.0,156915.140625,0.0,62766.0546875,300.4643859863281,0.0,0.9935805797576904,0.0,0.0,0.0,1.8481128790881485e-05,6.64341205265373e-05,0.0019865450449287,0.0,-0.0,0.0796507000923156,0.0,-36397.20703125,-569.3018798828125,84.88157653808594,42.48371505737305,1.0224326848983765
1.572817018313799e-05,0.0009577812161296,0.0,0.7277134656906128,0.0,0.0,0.0,156914.46875,0.0,62765.7890625,300.4643249511719,0.0,0.9927913546562196,0.0,0.0,0.0,1.848112515290268e-05,7.372374238912016e-05,0.0020776267629116,0.0,-0.0,0.0814473778009414,0.0,-38068.67578125,-572.3316650390625,84.73848724365234,43.42562103271485,1.022446870803833
1.7420004951418377e-05,0.0010041138157248,0.0,0.7277103066444397,0.0,0.0,0.0,156913.75,0.0,62765.50390625,300.4642639160156,0.0,0.9919463396072388,0.0,0.0,0.0,1.848112151492387e-05,8.167188207153231e-05,0.0021714260801672,0.0,-0.0,0.0832573324441909,0.0,-39790.46875,-576.2013549804688,84.600341796875,44.38834762573242,1.0224621295928955
1.9252142010373063e-05,0.0010514736641198,0.0,0.7277069091796875,0.0,0.0,0.0,156912.984375,0.0,62765.1953125,300.4642028808594,0.0,0.9910421967506408,0.0,0.0,0.0,1.8481119695934467e-05,9.033267997438088e-05,0.0022680414840579,0.0,-0.0,0.0850817486643791,0.0,-41564.4765625,-580.8167114257812,84.46736907958984,45.372371673583984,1.0224783420562744
2.1234358428046107e-05,0.001099883345887,0.0,0.7277032732963562,0.0,0.0,0.0,156912.171875,0.0,62764.87109375,300.4641418457031,0.0,0.9900752305984496,0.0,0.0,0.0,1.848111605795566e-05,9.976467117667198e-05,0.0023675737902522,0.0,-0.0,0.086921751499176,0.0,-43392.625,-586.1248168945312,84.33979797363281,46.37819290161133,1.0224958658218384
2.337710429856088e-05,0.0011493655620142,0.0,0.7276993989944458,0.0,0.0,0.0,156911.296875,0.0,62764.51953125,300.4640808105469,0.0,0.9890417456626892,0.0,0.0,0.0,1.8481112419976853e-05,0.0001100311274058,0.0024701245129108,0.0,-0.0,0.0887784361839294,0.0,-45276.88671875,-592.116943359375,84.21786499023438,47.40631866455078,1.0225147008895874
2.5691539121908136e-05,0.0011999440612271,0.0,0.7276952266693115,0.0,0.0,0.0,156910.359375,0.0,62764.14453125,300.4639892578125,0.0,0.9879375100135804,0.0,0.0,0.0,1.848110878199805e-05,0.0001212003771797,0.0025757965631783,0.0,-0.0,0.0906528308987617,0.0,-47219.2578125,-598.8325805664062,84.10183715820312,48.457275390625,1.022534728050232
