 x/c cp
 0.000005683079507 1.000706673
 0.000005005518233 1.000952959
 0.000004384811291 1.001153111
 0.000003817801371 1.001337767
 0.000003301492143 1.001507163
 0.000002833038479 1.001645684
 0.000002409740318 1.001768827
 0.000002029034022 1.001876593
 0.000001688486009 1.00196898
 0.000001385786504 1.00204587
 0.00000111874283 1.002092123
 0.0000008852738347 1.002138257
 0.0000006834043802 1.002169013
 0.0000005112596568 1.002169013
 0.0000003670607214 1.002169013
 0.0000002491193243 1.002169013
 0.0000001558336322 1.002138257
 8.568387244E-08 1.002107501
 0.000000037228304 1.002076745
 9.099365705E-09 1.001999736
 0 1.001891971
 9.13608833E-09 1.001861215
 3.753262234E-08 1.001814961
 8.674717833E-08 1.001722693
 0.0000001584429299 1.001630306
 0.0000002543956725 1.001507163
 0.0000003765014753 1.00138402
 0.0000005267846177 1.001245499
 0.0000007074062296 1.001076102
 0.0000009206736991 1.000906825
 0.000001169050279 1.000706673
 0.000001455165943 1.000491142
 0.00000178182836 1.000260234
 0.000002152034995 0.9999985695
 0.000002568986474 0.9997214675
 0.00000303609977 0.9994136095
 0.000003557023547 0.9990903139
 0.000004135653398 0.9987362623
 0.000004776150035 0.9983513951
 0.000005482955657 0.9979203939
 0.000006260815098 0.9974739552
 0.000007114794244 0.9969967604
 0.000008050305951 0.996473372
 0.000009073130968 0.99590379
 0.00001018944386 0.995303452
 0.00001140585937 0.9946569204
 0.00001272939062 0.9939488173
 0.0000141674891 0.9932098985
 0.00001572817018 0.9924094081
 0.00001742000495 0.9915627837
 0.00001925214201 0.9906391501
 0.00002123435843 0.989669323
 0.0000233771043 0.9886225462
 0.00002569153912 0.9874988198
 0.00002818959183 0.9863134623
 0.00003088400626 0.9850512147
 0.0000337884012 0.9836965203
 0.00003691733582 0.982249558
 0.00004028635522 0.9807101488
 0.00004391208131 0.9790630341
 0.00004781228199 0.9773235321
 0.00005200590749 0.975460887
 0.0000565125556 0.9734750986
 0.00006135369767 0.9713661671
 0.00006655229663 0.9691186547
 0.0000721328397 0.9667326212
 0.00007812149124 0.9641926289
 0.00008454616182 0.9614987373
 0.00009143664647 0.958635509
 0.00009882472659 0.9555875659
 0.0001067443154 0.9523548484
 0.0001152315599 0.9489374161
 0.0001243247098 0.945289135
 0.0001340622839 0.9414252639
 0.0001444871887 0.937330544
 0.0001556452189 0.9329894781
 0.0001675850508 0.9284021854
 0.0001803584455 0.9235377312
 0.000194020351 0.9183962345
 0.0002086290624 0.9129468203
 0.0002242464543 0.907204926
 0.0002409349836 0.9011397958
 0.0002587575873 0.894735992
 0.0002777856134 0.8880089521
 0.0002980943536 0.8809124231
 0.0003197632032 0.8734464049
 0.0003428756027 0.8656263947
 0.0003675194166 0.8574061394
 0.000393783208 0.8488010168
 0.0004217478563 0.8397956491
 0.0004515093169 0.8304054737
 0.0004831687256 0.8205996752
 0.0005168315256 0.8104089499
 0.0005526072346 0.7998180389
 0.0005906074657 0.7888423204
 0.0006309231394 0.7774662971
 0.000673662289 0.7657362819
 0.0007189432508 0.753667593
 0.0007668873877 0.7412447929
 0.0008176192059 0.7285141349
 0.0008712525596 0.7154910564
 0.0009278748767 0.7021908164
 0.0009876071708 0.6886751056
 0.001050574356 0.6749592423
 0.0011169028 0.6610587239
 0.001186710899 0.6470350027
 0.001260070479 0.6329035163
 0.001337093418 0.6187258363
 0.001417899854 0.6045174003
 0.001502609928 0.5903551579
 0.0015913276 0.5762390494
 0.001684108633 0.5622153282
 0.001781058498 0.5482686162
 0.00188228779 0.5341525078
 0.001987906406 0.5205598474
 0.002097738907 0.5083371997
 0.002211534185 0.4954372346
 0.002329434268 0.4812133908
 0.002451587468 0.4666816592
 0.002578142099 0.4517035484
 0.002709213877 0.4363713562
 0.002844951116 0.4207158983
 0.002985515632 0.4047833681
 0.0031310739 0.388589114
 0.003281754674 0.3721639812
 0.003437707433 0.3555695117
 0.003599108662 0.3388364911
 0.003766138339 0.3219649196
 0.003938932437 0.3050163984
 0.004117649049 0.2880216837
 0.00430247793 0.2709961832
 0.004493609536 0.2539860606
 0.004691177048 0.2370067537
 0.004895357881 0.2201197892
 0.005106354132 0.2033251971
 0.00532435393 0.1866845489
 0.005549492314 0.1702132225
 0.005781971384 0.1539574116
 0.006022005808 0.1379479021
 0.006269752979 0.1222154722
 0.006525381934 0.1068217084
