variables="x","C<sub>f</sub>"
zone, t="CFL3D"
 1.438224763E-01 3.605286358E-03
 1.452638805E-01 3.599422053E-03
 1.467113197E-01 3.593605012E-03
 1.481648535E-01 3.587834071E-03
 1.496245414E-01 3.582107369E-03
 1.510904431E-01 3.576425137E-03
 1.525626183E-01 3.570786677E-03
 1.540411264E-01 3.565190593E-03
 1.555260271E-01 3.559635719E-03
 1.570173800E-01 3.554122290E-03
 1.585152596E-01 3.548649373E-03
 1.600197256E-01 3.543215338E-03
 1.615308374E-01 3.537820186E-03
 1.630486548E-01 3.532463452E-03
 1.645732373E-01 3.527144203E-03
 1.661046743E-01 3.521860810E-03
 1.676430106E-01 3.516613506E-03
 1.691883355E-01 3.511402523E-03
 1.707406938E-01 3.506225999E-03
 1.723001748E-01 3.501083003E-03
 1.738668382E-01 3.495973768E-03
 1.754407436E-01 3.490898060E-03
 1.770219952E-01 3.485854249E-03
 1.786106378E-01 3.480842104E-03
 1.802067459E-01 3.475861391E-03
 1.818104088E-01 3.470911877E-03
 1.834216863E-01 3.465991933E-03
 1.850406677E-01 3.461101325E-03
 1.866674274E-01 3.456240520E-03
 1.883020550E-01 3.451408586E-03
 1.899445951E-01 3.446604125E-03
 1.915951520E-01 3.441827372E-03
 1.932538152E-01 3.437078325E-03
 1.949206442E-01 3.432356054E-03
 1.965957433E-01 3.427659860E-03
 1.982791722E-01 3.422988812E-03
 1.999710351E-01 3.418342443E-03
 2.016714215E-01 3.413719358E-03
 2.033804059E-01 3.409118624E-03
 2.050980777E-01 3.404541174E-03
 2.068245411E-01 3.399987705E-03
 2.085598707E-01 3.395457752E-03
 2.103041708E-01 3.390950384E-03
 2.120575309E-01 3.386465367E-03
 2.138200402E-01 3.382002935E-03
 2.155917883E-01 3.377562854E-03
 2.173728943E-01 3.373143962E-03
 2.191634327E-01 3.368745791E-03
 2.209635228E-01 3.364368575E-03
 2.227732539E-01 3.360012313E-03
 2.245927304E-01 3.355676075E-03
 2.264220566E-01 3.351359162E-03
 2.282613367E-01 3.347061807E-03
 2.301106751E-01 3.342784010E-03
 2.319701910E-01 3.338525305E-03
 2.338399738E-01 3.334284294E-03
 2.357201427E-01 3.330061678E-03
 2.376108319E-01 3.325857222E-03
 2.395121157E-01 3.321670694E-03
 2.414241433E-01 3.317501163E-03
 2.433470190E-01 3.313348163E-03
 2.452808470E-01 3.309212392E-03
 2.472257763E-01 3.305093385E-03
 2.491818964E-01 3.300990444E-03
 2.511493564E-01 3.296902869E-03
 2.531282902E-01 3.292831127E-03
 2.551187873E-01 3.288775450E-03
 2.571209967E-01 3.284734674E-03
 2.591350675E-01 3.280708333E-03
 2.611611187E-01 3.276696661E-03
 2.631992698E-01 3.272699658E-03
 2.652496696E-01 3.268717090E-03
 2.673124373E-01 3.264748026E-03
 2.693877518E-01 3.260792233E-03
 2.714757323E-01 3.256850177E-03
 2.735765278E-01 3.252921626E-03
 2.756902874E-01 3.249005880E-03
 2.778171599E-01 3.245102474E-03
 2.799572945E-01 3.241211642E-03
 2.821108401E-01 3.237333382E-03
 2.842779458E-01 3.233467462E-03
 2.864587903E-01 3.229612950E-03
 2.886535227E-01 3.225769848E-03
 2.908623219E-01 3.221938387E-03
 2.930853069E-01 3.218117636E-03
 2.953226864E-01 3.214306198E-03
 2.975746393E-01 3.210503375E-03
 2.998413146E-01 3.206710564E-03
 3.021228909E-01 3.202928463E-03
 3.044195473E-01 3.199156607E-03
 3.067314625E-01 3.195394296E-03
 3.090588450E-01 3.191641765E-03
 3.114018440E-01 3.187899245E-03
 3.137606978E-01 3.184166271E-03
 3.161355257E-01 3.180442378E-03
 3.185265958E-01 3.176727332E-03
 3.209340870E-01 3.173020668E-03
 3.233581781E-01 3.169323085E-03
 3.257990777E-01 3.165633883E-03
 3.282570243E-01 3.161952831E-03
