"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
16, 2.033804069020000e-01, 0.000000000000000e+00, 1.319771263425175e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861762037167827e+05, 0.000000000000000e+00, 1.625198004836416e+08, 1.144704814867131e+05, 3.021518008463225e+02, 0.000000000000000e+00, 4.940268324081448e-03, 1.856080280213403e-05, 3.327503246270384e-03, 0.000000000000000e+00, -2.490799716422952e+01, 1.681638463167760e+00, 0.000000000000000e+00
17, 2.319701836540000e-01, 0.000000000000000e+00, 1.319760589244740e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861750074950774e+05, 0.000000000000000e+00, 1.625220593847649e+08, 1.144700029980309e+05, 3.021529816299897e+02, 0.000000000000000e+00, 4.790961313709963e-03, 1.856085847941523e-05, 3.263577001396082e-03, 0.000000000000000e+00, -2.395977228698082e+01, 1.665395018239560e+00, 0.000000000000000e+00
18, 2.631992566980000e-01, 0.000000000000000e+00, 1.319751677744861e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861737701167423e+05, 0.000000000000000e+00, 1.625238743759298e+08, 1.144695080466969e+05, 3.021537154162132e+02, 0.000000000000000e+00, 4.636517318001484e-03, 1.856089307945241e-05, 3.204365047947271e-03, 0.000000000000000e+00, -2.309793480820549e+01, 1.650209360926042e+00, 0.000000000000000e+00
19, 2.975746430190000e-01, 0.000000000000000e+00, 1.319742803924499e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861725252313064e+05, 0.000000000000000e+00, 1.625256498372798e+08, 1.144690100925225e+05, 3.021544326592897e+02, 0.000000000000000e+00, 4.481136319754704e-03, 1.856092689939512e-05, 3.148057605765514e-03, 0.000000000000000e+00, -2.229297282570024e+01, 1.635637795232572e+00, 0.000000000000000e+00
20, 3.357351552200000e-01, 0.000000000000000e+00, 1.319732814027549e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861712938317200e+05, 0.000000000000000e+00, 1.625276604987169e+08, 1.144685175326880e+05, 3.021554196788131e+02, 0.000000000000000e+00, 4.327438564569333e-03, 1.856097343995983e-05, 3.092624052489005e-03, 0.000000000000000e+00, -2.151443623292094e+01, 1.621162815845727e+00, 0.000000000000000e+00
21, 3.784979252510000e-01, 0.000000000000000e+00, 1.319722005633917e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861700218457901e+05, 0.000000000000000e+00, 1.625298134606067e+08, 1.144680087383160e+05, 3.021565512582004e+02, 0.000000000000000e+00, 4.168675004605574e-03, 1.856102679681086e-05, 3.038907111000314e-03, 0.000000000000000e+00, -2.077319512690276e+01, 1.607010650635647e+00, 0.000000000000000e+00
22, 4.269260622260000e-01, 0.000000000000000e+00, 1.319711285810003e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861686335191421e+05, 0.000000000000000e+00, 1.625318803488400e+08, 1.144674534076568e+05, 3.021575397364851e+02, 0.000000000000000e+00, 3.995390319745882e-03, 1.856107340600056e-05, 2.986658173287993e-03, 0.000000000000000e+00, -2.006469003504916e+01, 1.593125348989042e+00, 0.000000000000000e+00
23, 4.824295720830000e-01, 0.000000000000000e+00, 1.319702235068380e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861671214653992e+05, 0.000000000000000e+00, 1.625335186624681e+08, 1.144668485861597e+05, 3.021580154374628e+02, 0.000000000000000e+00, 3.806662575646407e-03, 1.856109583644872e-05, 2.935197638404396e-03, 0.000000000000000e+00, -1.937892675442759e+01, 1.579333504001083e+00, 0.000000000000000e+00
24, 5.469203295140000e-01, 0.000000000000000e+00, 1.319691813529710e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861654908834514e+05, 0.000000000000000e+00, 1.625353991719525e+08, 1.144661963533805e+05, 3.021586798520848e+02, 0.000000000000000e+00, 3.603140674379867e-03, 1.856112716517141e-05, 2.883495428894147e-03, 0.000000000000000e+00, -1.870192640135734e+01, 1.565353251714665e+00, 0.000000000000000e+00
25, 6.230581989500000e-01, 0.000000000000000e+00, 1.319678878073278e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861637016491962e+05, 0.000000000000000e+00, 1.625377544667816e+08, 1.144654806596785e+05, 3.021597523539154e+02, 0.000000000000000e+00, 3.379816506032800e-03, 1.856117773610140e-05, 2.831351393673276e-03, 0.000000000000000e+00, -1.803131919149332e+01, 1.551123224579168e+00, 0.000000000000000e+00
26, 7.146576599530000e-01, 0.000000000000000e+00, 1.319663810537955e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861616473293819e+05, 0.000000000000000e+00, 1.625404559199626e+08, 1.144646589317528e+05, 3.021610331481038e+02, 0.000000000000000e+00, 3.123405551056729e-03, 1.856123812838082e-05, 2.778591059298550e-03, 0.000000000000000e+00, -1.736524288844371e+01, 1.536589421459150e+00, 0.000000000000000e+00
27, 8.273919576770000e-01, 0.000000000000000e+00, 1.319650436364353e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861592194223142e+05, 0.000000000000000e+00, 1.625426278627920e+08, 1.144636877689257e+05, 3.021615317613702e+02, 0.000000000000000e+00, 2.820365116211321e-03, 1.856126163906562e-05, 2.724395325645263e-03, 0.000000000000000e+00, -1.669414505698577e+01, 1.521520592199015e+00, 0.000000000000000e+00
28, 9.700840484090000e-01, 0.000000000000000e+00, 1.319634309734530e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861562467165961e+05, 0.000000000000000e+00, 1.625451795121641e+08, 1.144624986866384e+05, 3.021620853544582e+02, 0.000000000000000e+00, 2.449325365363406e-03, 1.856128774214475e-05, 2.665881319105192e-03, 0.000000000000000e+00, -1.598441183886444e+01, 1.505081135955047e+00, 0.000000000000000e+00
29, 1.140830626210000e+00, 0.000000000000000e+00, 1.319612789109074e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861526602746604e+05, 0.000000000000000e+00, 1.625486396596490e+08, 1.144610641098641e+05, 3.021632259933511e+02, 0.000000000000000e+00, 2.001681821597358e-03, 1.856134152559547e-05, 2.605705018727650e-03, 0.000000000000000e+00, -1.527057701873386e+01, 1.487980815362260e+00, 0.000000000000000e+00
30, 1.312664500970000e+00, 0.000000000000000e+00, 1.319591593080083e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861489289146564e+05, 0.000000000000000e+00, 1.625519108045257e+08, 1.144595715658625e+05, 3.021641393134398e+02, 0.000000000000000e+00, 1.535950256651028e-03, 1.856138459042944e-05, 2.554223842885299e-03, 0.000000000000000e+00, -1.467284229727393e+01, 1.473193143445001e+00, 0.000000000000000e+00
31, 1.484498375720000e+00, 0.000000000000000e+00, 1.319572123692816e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861452928601525e+05, 0.000000000000000e+00, 1.625547997788491e+08, 1.144581171440610e+05, 3.021647579251632e+02, 0.000000000000000e+00, 1.082114295371728e-03, 1.856141375914976e-05, 2.510614182678006e-03, 0.000000000000000e+00, -1.417584818427825e+01, 1.460549613741475e+00, 0.000000000000000e+00
32, 1.656332250480000e+00, 0.000000000000000e+00, 1.319552813672900e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861418528006268e+05, 0.000000000000000e+00, 1.625577042533484e+08, 1.144567411202507e+05, 3.021655470320199e+02, 0.000000000000000e+00, 6.527415453132361e-04, 1.856145096699789e-05, 2.472933610788406e-03, 0.000000000000000e+00, -1.375330785937547e+01, 1.449534330925817e+00, 0.000000000000000e+00
33, 1.828166125240000e+00, 0.000000000000000e+00, 1.319536531812176e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861385196120295e+05, 0.000000000000000e+00, 1.625599753370057e+08, 1.144554078448118e+05, 3.021657555877962e+02, 0.000000000000000e+00, 2.367079436234237e-04, 1.856146080078065e-05, 2.438630796840967e-03, 0.000000000000000e+00, -1.337422553885156e+01, 1.439436114388960e+00, 0.000000000000000e+00
34, 2.000000000000000e+00, 0.000000000000000e+00, 1.319530875340545e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.861380165540990e+05, 0.000000000000000e+00, 1.625611581205758e+08, 1.144552066216396e+05, 3.021665196530182e+02, 0.000000000000000e+00, 1.739185164494166e-04, 1.856149682781208e-05, 2.405770553854279e-03, 0.000000000000000e+00, -1.301605956240708e+01, 1.429699272620041e+00, 0.000000000000000e+00
