x,y,z,Density,Momentum_0,Momentum_1,Momentum_2,Energy,Turb_Kin_Energy,Omega,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity_0,Velocity_1,Velocity_2,Laminar_Viscosity,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Heat_Flux,Y_Plus,Eddy_Viscosity,Vorticity,Q_Criterion,Orthogonality,Aspect_Ratio,Volume_Ratio
0.294154018163681,-0.0403011739253997,0.0,0.7230103611946106,0.0,0.0,0.0,155869.1875,1.000000013351432e-10,4812129280.0,62347.67578125,300.4042663574219,0.0,-0.2426951825618744,0.0,0.0,0.0,1.8478285710443743e-05,0.0051094563677906,-7.55747314542532e-05,0.0,-0.0,0.124733842909336,1.502474870328694e-20,93587.078125,-0.0317170955240726,63.42013168334961,4124.19482421875,1.008582592010498
0.2989205420017242,-0.0403601489961147,0.0,0.7230080366134644,0.0,0.0,0.0,155868.0,1.000000013351432e-10,4815346688.0,62347.19921875,300.4029541015625,0.0,-0.2441048473119735,0.0,0.0,0.0,1.847822204581462e-05,0.0050383443012833,-4.938472557114437e-05,0.0,-0.0,0.1238178238272667,1.5014662592810048e-20,92279.21875,-0.1061206012964248,63.31095886230469,4158.27392578125,1.0082348585128784
0.3037288188934326,-0.0403950214385986,0.0,0.7230103015899658,0.0,0.0,0.0,155868.59375,1.000000013351432e-10,4819892224.0,62347.4375,300.40313720703125,0.0,-0.2434043437242508,0.0,0.0,0.0,1.847823114076164e-05,0.0049812071956694,-2.48837659455603e-05,0.0,-0.0,0.1230534613132476,1.5000548823608362e-20,91229.4453125,-0.0255183614790439,63.21175384521485,4191.7685546875,1.008334994316101
0.3085780739784241,-0.0404083915054798,0.0,0.7230159640312195,0.0,0.0,0.0,155869.921875,1.000000013351432e-10,4821473792.0,62347.96875,300.4033508300781,0.0,-0.2418265491724014,0.0,0.0,0.0,1.8478242054698057e-05,0.0049343239516019,-3.198818831151584e-06,0.0,-0.0,0.1224521249532699,1.4995745683059302e-20,90369.625,-0.0393703654408454,63.13829040527344,4224.646484375,1.0082690715789795
0.3134675920009613,-0.0404013358056545,0.0,0.723024308681488,0.0,0.0,0.0,155871.953125,1.000000013351432e-10,4821660160.0,62348.78125,300.4037780761719,0.0,-0.2394312918186187,0.0,0.0,0.0,1.8478262063581496e-05,0.0048892255872488,1.6672156561980955e-05,0.0,-0.0,0.1218891739845275,1.4995340170688692e-20,89544.078125,-0.0240643247961998,63.08087158203125,4256.884765625,1.008195877075195
0.3183965682983398,-0.0403749123215675,0.0,0.723034679889679,0.0,0.0,0.0,155874.5,1.000000013351432e-10,4820508160.0,62349.80078125,300.4043884277344,0.0,-0.2364196181297302,0.0,0.0,0.0,1.8478291167411957e-05,0.0048473160713911,3.4811688237823546e-05,0.0,-0.0,0.1213812604546547,1.499913841604047e-20,88778.15625,-0.0230018440634012,63.03938293457031,4288.45849609375,1.0081260204315186
0.3233641684055328,-0.0403302609920501,0.0,0.7230466604232788,0.0,0.0,0.0,155877.4375,1.000000013351432e-10,4817971200.0,62350.9765625,300.4050598144531,0.0,-0.2329435050487518,0.0,0.0,0.0,1.8478323909221217e-05,0.0048067392781376,5.12325277668424e-05,0.0,-0.0,0.1209057420492172,1.5007285821956694e-20,88037.578125,-0.0186966396868228,63.01424026489258,4319.3408203125,1.0080593824386597
0.3283696174621582,-0.0402686148881912,0.0,0.7230594158172607,0.0,0.0,0.0,155880.609375,1.000000013351432e-10,4814012928.0,62352.2421875,300.4058532714844,0.0,-0.2292062938213348,0.0,0.0,0.0,1.8478360289009288e-05,0.0047677350230515,6.59491925034672e-05,0.0,-0.0,0.120465911924839,1.5019890632775324e-20,87326.40625,-0.0157396160066127,63.0059700012207,4349.5078125,1.007995367050171
0.3334120810031891,-0.0401912741363048,0.0,0.7230725288391113,0.0,0.0,0.0,155883.75,1.000000013351432e-10,4808593408.0,62353.5,300.406494140625,0.0,-0.2254893183708191,0.0,0.0,0.0,1.8478391211829148e-05,0.0047308839857578,7.898425974417478e-05,0.0,-0.0,0.1200695857405662,1.503708855781561e-20,86655.09375,-0.0129652339965105,63.0150146484375,4378.9345703125,1.0079336166381836
0.3384906649589538,-0.0400996394455432,0.0,0.7230849862098694,0.0,0.0,0.0,155886.65625,1.000000013351432e-10,4801687552.0,62354.66015625,300.40692138671875,0.0,-0.2220557034015655,0.0,0.0,0.0,1.8478409401723184e-05,0.0046957130543887,9.034490358317272e-05,0.0,-0.0,0.1197110936045646,1.5058976532305592e-20,86014.703125,-0.0111450608819723,63.04180908203125,4407.5966796875,1.007873773574829
