x/c,cp
0.8818539381,0.06700887531
0.8793354034,0.06579855829
0.8767752051,0.06458681822
0.8741729856,0.06337347627
0.8715283871,0.0621583201
0.8688409328,0.06094112992
0.8661103249,0.0597216785
0.8633361459,0.05849963427
0.8605180979,0.05727467686
0.8576557636,0.05604634807
0.8547489047,0.054814253
0.8517971039,0.05357757583
0.8488000631,0.05233823881
0.845757544,0.05109990761
0.842669189,0.04986286163
0.8395348191,0.04862664267
0.8363540173,0.04739029333
0.8331267238,0.04615263268
0.8298526406,0.04491237924
0.8265314698,0.04366825894
0.8231631517,0.04241906479
0.8197475076,0.0411635004
0.8162842989,0.03990013897
0.8127734661,0.03862737119
0.8092148304,0.0373432748
0.8056083322,0.03604594246
0.8019539118,0.03473266214
0.7982515097,0.03340610117
0.7945011258,0.03207296133
0.790702641,0.03073400632
0.7868561745,0.02938901819
0.7829617262,0.02803697996
0.7790193558,0.02667636983
0.7750291824,0.0253055729
0.7709913254,0.02392300963
0.7669059038,0.02252722904
0.7627730966,0.02111663111
0.7585930824,0.01968950219
0.7543661594,0.01824377663
0.7500925064,0.0167779848
0.7457724214,0.01529387292
0.7414062619,0.01379315183
0.7369942665,0.01227565017
0.732536912,0.01074107736
0.7280345559,0.009188709781
0.723487556,0.007617745548
0.7188965082,0.006027274765
0.7142618299,0.004416351207
0.7095840573,0.0027842212
0.7048637271,0.001130120014
0.7001014352,-0.0005469598109
0.6952978373,-0.002248009201
0.6904534698,-0.003974003717
0.6855691671,-0.005726095755
0.6806454659,-0.007505302783
0.67568326,-0.009312604554
0.6706832051,-0.01114922576
0.6656461954,-0.01301606745
0.6605730057,-0.01491493452
0.6554644704,-0.01684581675
0.6503215432,-0.01881376468
0.6451451778,-0.02084393241
0.6399362087,-0.02295284346
0.6346957088,-0.02513084374
0.6294246316,-0.02736923471
0.6241239905,-0.02965641953
0.6187948585,-0.03198073059
0.6134383082,-0.03432976827
0.6080553532,-0.03669166565
0.6026471853,-0.03905142099
0.5972149372,-0.04142547771
0.5917598009,-0.04386625439
0.5862830281,-0.04638077691
0.5807857513,-0.04896501079
0.5752692223,-0.05161055923
0.569734633,-0.0543066971
0.5641833544,-0.05704162642
0.5586165786,-0.05980490893
0.5530356765,-0.06258305907
0.5474418402,-0.06540346891
0.5418365002,-0.06834986806
0.5362210274,-0.07142624259
0.5305966735,-0.07461540401
0.524964869,-0.07789535075
0.5193268657,-0.08123981208
0.5136840343,-0.08462122083
0.508037746,-0.08800895512
0.5023893118,-0.09138275683
0.4967401624,-0.09483327717
0.4910918772,-0.09868387133
0.4854457378,-0.102857478
0.4798030555,-0.1072655395
0.4741651416,-0.1118262783
0.4685332477,-0.1164367646
0.462908715,-0.1209973693
0.4572927952,-0.1253216118
0.4516867995,-0.1292746961
0.446092099,-0.1333406866
0.4405103326,-0.1379429251
0.4349427223,-0.1429593116
0.4293904603,-0.1482988298
0.4238547385,-0.1537870765
0.4183367491,-0.159242481
