"Density","Diffusivity_0","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_Species_0","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Species_0","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8278,5.8297e-06,0.00017069,1679.9,0,8.0406e-06,10962,8.4192,0.0032792,-3.0263e-12,-3.4924e-16,-9.0209e-19,-4.7748e-16,-2.2409e-14,-4.2335e-14,0,0,0,0,0.99991,0.33652,1.0269,64.377,0.012556,0,0,1,0.014728,0.014728,0,0
1.8278,5.8298e-06,0.00017671,1679.9,0,8.0408e-06,11084,8.628,0.0033606,-2.9358e-12,-2.9554e-16,1.1331e-18,-4.8225e-16,-1.8832e-14,-3.5535e-14,0,0,0,0,0.99989,0.34775,1.0751,64.333,0.013365,0,0,1,0.015149,0.015149,0,0
1.8277,5.83e-06,0.00018273,1679.9,0,8.0409e-06,11207,8.8368,0.0034419,-2.8454e-12,-2.4183e-16,3.1682e-18,-4.8703e-16,-1.5254e-14,-2.8735e-14,0,0,0,0,0.99987,0.35897,1.1232,64.289,0.014175,0,0,1,0.01557,0.01557,0,0
1.8277,5.8301e-06,0.00018874,1679.9,0,8.0411e-06,11329,9.0456,0.0035232,-2.755e-12,-1.8813e-16,5.2033e-18,-4.918e-16,-1.1677e-14,-2.1935e-14,0,0,0,0,0.99985,0.3702,1.1714,64.245,0.014984,0,0,1,0.01599,0.01599,0,0
1.8277,5.8303e-06,0.00019537,1679.9,0,8.0414e-06,11456,9.2868,0.0036172,-2.6668e-12,-1.3817e-16,6.3602e-18,-4.9837e-16,-8.318e-15,-1.5589e-14,0,0,0,0,0.99982,0.38257,1.2258,64.196,0.015889,0,0,1,0.016411,0.016411,0,0
1.8276,5.8308e-06,0.0002036,1679.8,0,8.0418e-06,11597,9.6138,0.0037445,-2.5848e-12,-9.81e-17,5.2006e-18,-5.0965e-16,-5.5361e-15,-1.0442e-14,0,0,0,0,0.99975,0.39792,1.2964,64.132,0.017045,0,0,1,0.016832,0.016832,0,0
1.8276,5.8313e-06,0.00021184,1679.8,0,8.0423e-06,11737,9.9407,0.0038718,-2.5027e-12,-5.803e-17,4.041e-18,-5.2094e-16,-2.7543e-15,-5.2942e-15,0,0,0,0,0.99968,0.41328,1.3671,64.069,0.018201,0,0,1,0.017253,0.017253,0,0
1.8275,5.8317e-06,0.00022007,1679.7,0,8.0428e-06,11877,10.268,0.0039992,-2.4207e-12,-1.7959e-17,2.8814e-18,-5.3222e-16,2.757e-17,-1.4664e-16,0,0,0,0,0.99961,0.42863,1.4377,64.006,0.019357,0,0,1,0.017674,0.017674,0,0
1.8274,5.8322e-06,0.00022831,1679.7,0,8.0433e-06,12018,10.594,0.0041265,-2.3386e-12,2.2111e-17,1.7218e-18,-5.4351e-16,2.8094e-15,5.0009e-15,0,0,0,0,0.99955,0.44399,1.5084,63.943,0.020513,0,0,1,0.018094,0.018094,0,0
1.8274,5.8326e-06,0.00023654,1679.6,0,8.0438e-06,12158,10.921,0.0042538,-2.2565e-12,6.2181e-17,5.6221e-19,-5.5479e-16,5.5913e-15,1.0148e-14,0,0,0,0,0.99948,0.45935,1.5791,63.879,0.021669,0,0,1,0.018515,0.018515,0,0
