"x","y","mut"
 7.500000000E-01, 5.121863633E-02, 3.898219681E+01
 7.500000000E-01, 5.124346912E-02, 3.949000549E+01
 7.500000000E-01, 5.126880854E-02, 4.000613785E+01
 7.500000000E-01, 5.129466206E-02, 4.053117371E+01
 7.500000000E-01, 5.132104084E-02, 4.106575394E+01
 7.500000000E-01, 5.134795979E-02, 4.161051559E+01
 7.500000000E-01, 5.137542635E-02, 4.216617203E+01
 7.500000000E-01, 5.140345171E-02, 4.273341751E+01
 7.500000000E-01, 5.143205076E-02, 4.331302261E+01
 7.500000000E-01, 5.146122724E-02, 4.390571976E+01
 7.500000000E-01, 5.149100348E-02, 4.451230240E+01
 7.500000000E-01, 5.152138323E-02, 4.513352585E+01
 7.500000000E-01, 5.155238137E-02, 4.577017975E+01
 7.500000000E-01, 5.158401281E-02, 4.642299271E+01
 7.500000000E-01, 5.161628872E-02, 4.709271622E+01
 7.500000000E-01, 5.164922029E-02, 4.778000259E+01
 7.500000000E-01, 5.168282241E-02, 4.848550415E+01
 7.500000000E-01, 5.171710998E-02, 4.920974731E+01
 7.500000000E-01, 5.175209790E-02, 4.995322037E+01
 7.500000000E-01, 5.178779736E-02, 5.071625519E+01
 7.500000000E-01, 5.182422325E-02, 5.149912262E+01
 7.500000000E-01, 5.186139047E-02, 5.230189896E+01
 7.500000000E-01, 5.189931393E-02, 5.312455368E+01
 7.500000000E-01, 5.193801224E-02, 5.396684647E+01
 7.500000000E-01, 5.197750032E-02, 5.482841492E+01
 7.500000000E-01, 5.201778933E-02, 5.570864105E+01
 7.500000000E-01, 5.205890164E-02, 5.660677719E+01
 7.500000000E-01, 5.210085213E-02, 5.752180099E+01
 7.500000000E-01, 5.214365572E-02, 5.845255661E+01
 7.500000000E-01, 5.218733102E-02, 5.939761353E+01
 7.500000000E-01, 5.223189294E-02, 6.035540009E+01
 7.500000000E-01, 5.227736756E-02, 6.132408142E+01
 7.500000000E-01, 5.232376605E-02, 6.230170822E+01
 7.500000000E-01, 5.237111077E-02, 6.328607559E+01
 7.500000000E-01, 5.241942033E-02, 6.427487946E+01
 7.500000000E-01, 5.246871337E-02, 6.526560974E+01
 7.500000000E-01, 5.251901224E-02, 6.625567627E+01
 7.500000000E-01, 5.257033557E-02, 6.724230957E+01
 7.500000000E-01, 5.262270197E-02, 6.822269440E+01
 7.500000000E-01, 5.267613754E-02, 6.919387054E+01
