"x","y","mut"
  0.7500000,      5.0381824E-02,   16.19260    
  0.7500000,      5.0389618E-02,   16.50761    
  0.7500000,      5.0397567E-02,   16.82576    
  0.7500000,      5.0405681E-02,   17.14703    
  0.7500000,      5.0413966E-02,   17.47140    
  0.7500000,      5.0422415E-02,   17.79883    
  0.7500000,      5.0431028E-02,   18.12930    
  0.7500000,      5.0439827E-02,   18.46278    
  0.7500000,      5.0448805E-02,   18.79923    
  0.7500000,      5.0457954E-02,   19.13865    
  0.7500000,      5.0467297E-02,   19.48098    
  0.7500000,      5.0476834E-02,   19.82620    
  0.7500000,      5.0486565E-02,   20.17429    
  0.7500000,      5.0496489E-02,   20.52521    
  0.7500000,      5.0506614E-02,   20.87894    
  0.7500000,      5.0516948E-02,   21.23544    
  0.7500000,      5.0527491E-02,   21.59468    
  0.7500000,      5.0538242E-02,   21.95663    
  0.7500000,      5.0549224E-02,   22.32128    
  0.7500000,      5.0560422E-02,   22.68859    
  0.7500000,      5.0571851E-02,   23.05854    
  0.7500000,      5.0583512E-02,   23.43110    
  0.7500000,      5.0595410E-02,   23.80625    
  0.7500000,      5.0607547E-02,   24.18396    
  0.7500000,      5.0619945E-02,   24.56423    
  0.7500000,      5.0632581E-02,   24.94704    
  0.7500000,      5.0645471E-02,   25.33237    
  0.7500000,      5.0658636E-02,   25.72021    
  0.7500000,      5.0672062E-02,   26.11055    
  0.7500000,      5.0685763E-02,   26.50340    
  0.7500000,      5.0699741E-02,   26.89875    
  0.7500000,      5.0714009E-02,   27.29662    
  0.7500000,      5.0728559E-02,   27.69701    
  0.7500000,      5.0743416E-02,   28.09994    
  0.7500000,      5.0758570E-02,   28.50544    
  0.7500000,      5.0774030E-02,   28.91353    
  0.7500000,      5.0789803E-02,   29.32425    
  0.7500000,      5.0805911E-02,   29.73765    
  0.7500000,      5.0822333E-02,   30.15379    
  0.7500000,      5.0839096E-02,   30.57273    
  0.7500000,      5.0856195E-02,   30.99455    
  0.7500000,      5.0873645E-02,   31.41933    
  0.7500000,      5.0891452E-02,   31.84718    
  0.7500000,      5.0909624E-02,   32.27821    
  0.7500000,      5.0928161E-02,   32.71254    
  0.7500000,      5.0947070E-02,   33.15032    
  0.7500000,      5.0966375E-02,   33.59173    
  0.7500000,      5.0986066E-02,   34.03693    
