"x","y_y0","u"
 7.500000000E-01, 7.212057826E-04, 9.556219578E-01
 7.500000000E-01, 7.359095034E-04, 9.586187601E-01
 7.500000000E-01, 7.509112475E-04, 9.616190195E-01
 7.500000000E-01, 7.662147400E-04, 9.646225572E-01
 7.500000000E-01, 7.818348822E-04, 9.676294923E-01
 7.500000000E-01, 7.977716741E-04, 9.706395268E-01
 7.500000000E-01, 8.140288410E-04, 9.736526608E-01
 7.500000000E-01, 8.306212840E-04, 9.766688347E-01
 7.500000000E-01, 8.475527284E-04, 9.796878695E-01
 7.500000000E-01, 8.648268995E-04, 9.827096462E-01
 7.500000000E-01, 8.824512479E-04, 9.857339859E-01
 7.500000000E-01, 9.004369495E-04, 9.887608886E-01
 7.500000000E-01, 9.187877295E-04, 9.917900562E-01
 7.500000000E-01, 9.375147638E-04, 9.948213100E-01
 7.500000000E-01, 9.566217777E-04, 9.978547096E-01
 7.500000000E-01, 9.761162219E-04, 1.000889778E+00
 7.500000000E-01, 9.960092138E-04, 1.003926516E+00
 7.500000000E-01, 1.016304595E-03, 1.006964684E+00
 7.500000000E-01, 1.037017209E-03, 1.010004044E+00
 7.500000000E-01, 1.058150781E-03, 1.013044238E+00
 7.500000000E-01, 1.079712762E-03, 1.016085267E+00
 7.500000000E-01, 1.101718051E-03, 1.019126654E+00
 7.500000000E-01, 1.124166651E-03, 1.022168398E+00
 7.500000000E-01, 1.147073461E-03, 1.025210142E+00
 7.500000000E-01, 1.170449657E-03, 1.028251410E+00
 7.500000000E-01, 1.194298966E-03, 1.031292200E+00
 7.500000000E-01, 1.218636287E-03, 1.034332037E+00
 7.500000000E-01, 1.243469073E-03, 1.037370443E+00
 7.500000000E-01, 1.268808497E-03, 1.040407538E+00
 7.500000000E-01, 1.294662012E-03, 1.043442726E+00
 7.500000000E-01, 1.321040792E-03, 1.046475649E+00
 7.500000000E-01, 1.347959740E-03, 1.049505949E+00
 7.500000000E-01, 1.375426305E-03, 1.052533388E+00
 7.500000000E-01, 1.403451664E-03, 1.055557489E+00
 7.500000000E-01, 1.432050718E-03, 1.058577776E+00
 7.500000000E-01, 1.461227192E-03, 1.061594009E+00
 7.500000000E-01, 1.491003437E-03, 1.064605832E+00
 7.500000000E-01, 1.521383179E-03, 1.067612648E+00
 7.500000000E-01, 1.552381320E-03, 1.070614100E+00
 7.500000000E-01, 1.584012760E-03, 1.073609710E+00
 7.500000000E-01, 1.616288675E-03, 1.076599240E+00
 7.500000000E-01, 1.649220241E-03, 1.079581976E+00
 7.500000000E-01, 1.682822360E-03, 1.082557559E+00
 7.500000000E-01, 1.717109932E-03, 1.085525632E+00
 7.500000000E-01, 1.752097858E-03, 1.088485599E+00
 7.500000000E-01, 1.787797315E-03, 1.091436863E+00
 7.500000000E-01, 1.824223204E-03, 1.094379187E+00
 7.500000000E-01, 1.861390425E-03, 1.097311974E+00
 7.500000000E-01, 1.899313880E-03, 1.100234628E+00
 7.500000000E-01, 1.938012196E-03, 1.103146911E+00
 7.500000000E-01, 1.977500273E-03, 1.106047988E+00
 7.500000000E-01, 2.017789287E-03, 1.108937621E+00
 7.500000000E-01, 2.058901591E-03, 1.111815214E+00
 7.500000000E-01, 2.100852085E-03, 1.114680290E+00
 7.500000000E-01, 2.143655671E-03, 1.117532253E+00
 7.500000000E-01, 2.187330974E-03, 1.120370746E+00
 7.500000000E-01, 2.231892897E-03, 1.123195052E+00
 7.500000000E-01, 2.277367515E-03, 1.126004934E+00
 7.500000000E-01, 2.323766006E-03, 1.128799796E+00
 7.500000000E-01, 2.371110721E-03, 1.131579161E+00
 7.500000000E-01, 2.419420285E-03, 1.134342551E+00
 7.500000000E-01, 2.468713326E-03, 1.137089491E+00
 7.500000000E-01, 2.519012196E-03, 1.139819503E+00
 7.500000000E-01, 2.570335520E-03, 1.142532229E+00
 7.500000000E-01, 2.622701926E-03, 1.145227313E+00
 7.500000000E-01, 2.676137490E-03, 1.147904158E+00
 7.500000000E-01, 2.730660839E-03, 1.150562406E+00
 7.500000000E-01, 2.786294324E-03, 1.153201818E+00
 7.500000000E-01, 2.843060298E-03, 1.155821800E+00
 7.500000000E-01, 2.900984837E-03, 1.158422232E+00
 7.500000000E-01, 2.960086567E-03, 1.161002636E+00
 7.500000000E-01, 3.020395292E-03, 1.163562775E+00
 7.500000000E-01, 3.081933362E-03, 1.166102648E+00
 7.500000000E-01, 3.144723130E-03, 1.168621540E+00
 7.500000000E-01, 3.208790673E-03, 1.171119332E+00
 7.500000000E-01, 3.274165792E-03, 1.173596025E+00
 7.500000000E-01, 3.340874566E-03, 1.176051378E+00
 7.500000000E-01, 3.408939345E-03, 1.178485155E+00
 7.500000000E-01, 3.478389932E-03, 1.180897236E+00
 7.500000000E-01, 3.549256129E-03, 1.183287621E+00
 7.500000000E-01, 3.621567739E-03, 1.185656071E+00
 7.500000000E-01, 3.695350839E-03, 1.188002825E+00
 7.500000000E-01, 3.770638956E-03, 1.190327525E+00
 7.500000000E-01, 3.847458167E-03, 1.192630410E+00
 7.500000000E-01, 3.925845958E-03, 1.194911242E+00
 7.500000000E-01, 4.005827941E-03, 1.197170496E+00
 7.500000000E-01, 4.087441601E-03, 1.199407816E+00
 7.500000000E-01, 4.170713015E-03, 1.201623559E+00
 7.500000000E-01, 4.255686887E-03, 1.203817606E+00
 7.500000000E-01, 4.342389293E-03, 1.205990195E+00
 7.500000000E-01, 4.430857487E-03, 1.208141565E+00
 7.500000000E-01, 4.521128722E-03, 1.210271597E+00
 7.500000000E-01, 4.613240249E-03, 1.212380528E+00
 7.500000000E-01, 4.707225598E-03, 1.214468360E+00
 7.500000000E-01, 4.803125747E-03, 1.216535330E+00
 7.500000000E-01, 4.900981672E-03, 1.218581438E+00
 7.500000000E-01, 5.000830628E-03, 1.220606923E+00
 7.500000000E-01, 5.102713592E-03, 1.222611666E+00
 7.500000000E-01, 5.206671543E-03, 1.224595547E+00
 7.500000000E-01, 5.312749185E-03, 1.226558805E+00
 7.500000000E-01, 5.420987494E-03, 1.228501081E+00
 7.500000000E-01, 5.531431176E-03, 1.230422378E+00
 7.500000000E-01, 5.644121207E-03, 1.232322454E+00
 7.500000000E-01, 5.759109743E-03, 1.234200954E+00
 7.500000000E-01, 5.876441486E-03, 1.236057281E+00
 7.500000000E-01, 5.996164866E-03, 1.237891078E+00
 7.500000000E-01, 6.118324585E-03, 1.239701629E+00
 7.500000000E-01, 6.242972799E-03, 1.241488099E+00
 7.500000000E-01, 6.370161660E-03, 1.243249655E+00
 7.500000000E-01, 6.499943323E-03, 1.244984865E+00
 7.500000000E-01, 6.632366218E-03, 1.246692657E+00
 7.500000000E-01, 6.767489947E-03, 1.248371363E+00
 7.500000000E-01, 6.905362941E-03, 1.250019073E+00
 7.500000000E-01, 7.046048529E-03, 1.251633883E+00
 7.500000000E-01, 7.189598866E-03, 1.253213406E+00
 7.500000000E-01, 7.336073555E-03, 1.254754782E+00
 7.500000000E-01, 7.485532202E-03, 1.256254911E+00
 7.500000000E-01, 7.638034411E-03, 1.257710576E+00
 7.500000000E-01, 7.793643512E-03, 1.259117603E+00
 7.500000000E-01, 7.952426560E-03, 1.260471821E+00
 7.500000000E-01, 8.114439435E-03, 1.261768103E+00
 7.500000000E-01, 8.279756643E-03, 1.263000965E+00
 7.500000000E-01, 8.448441513E-03, 1.264164329E+00
 7.500000000E-01, 8.620561101E-03, 1.265251160E+00
 7.500000000E-01, 8.796186186E-03, 1.266254067E+00
 7.500000000E-01, 8.975395001E-03, 1.267164230E+00
 7.500000000E-01, 9.158250876E-03, 1.267972231E+00
 7.500000000E-01, 9.344832040E-03, 1.268667698E+00
 7.500000000E-01, 9.535213001E-03, 1.269239068E+00
 7.500000000E-01, 9.729475714E-03, 1.269673347E+00
 7.500000000E-01, 9.927694686E-03, 1.269956827E+00
 7.500000000E-01, 1.012995187E-02, 1.270074368E+00
 7.500000000E-01, 1.033632923E-02, 1.270009041E+00
 7.500000000E-01, 1.054691244E-02, 1.269742131E+00
 7.500000000E-01, 1.076178346E-02, 1.269251585E+00
 7.500000000E-01, 1.098103542E-02, 1.268521070E+00
 7.500000000E-01, 1.120475028E-02, 1.267611384E+00
 7.500000000E-01, 1.143302489E-02, 1.266715646E+00
 7.500000000E-01, 1.166595239E-02, 1.265962720E+00
 7.500000000E-01, 1.190362219E-02, 1.265303969E+00
 7.500000000E-01, 1.214613486E-02, 1.264666319E+00
 7.500000000E-01, 1.239358727E-02, 1.264024854E+00
 7.500000000E-01, 1.264608372E-02, 1.263374209E+00
 7.500000000E-01, 1.290372480E-02, 1.262713432E+00
 7.500000000E-01, 1.316661108E-02, 1.262041569E+00
 7.500000000E-01, 1.343485434E-02, 1.261358976E+00
 7.500000000E-01, 1.370855886E-02, 1.260664940E+00
 7.500000000E-01, 1.398784388E-02, 1.259959459E+00
 7.500000000E-01, 1.427282114E-02, 1.259242535E+00
 7.500000000E-01, 1.456360240E-02, 1.258513927E+00
 7.500000000E-01, 1.486030687E-02, 1.257773638E+00
 7.500000000E-01, 1.516305376E-02, 1.257021427E+00
 7.500000000E-01, 1.547196973E-02, 1.256257176E+00
 7.500000000E-01, 1.578718051E-02, 1.255480647E+00
 7.500000000E-01, 1.610881463E-02, 1.254691958E+00
 7.500000000E-01, 1.643699780E-02, 1.253890872E+00
 7.500000000E-01, 1.677187160E-02, 1.253077030E+00
 7.500000000E-01, 1.711356267E-02, 1.252250791E+00
 7.500000000E-01, 1.746221259E-02, 1.251411557E+00
 7.500000000E-01, 1.781797037E-02, 1.250559330E+00
 7.500000000E-01, 1.818097755E-02, 1.249694228E+00
 7.500000000E-01, 1.855138317E-02, 1.248816013E+00
 7.500000000E-01, 1.892932877E-02, 1.247924328E+00
 7.500000000E-01, 1.931497827E-02, 1.247019291E+00
 7.500000000E-01, 1.970848069E-02, 1.246100783E+00
 7.500000000E-01, 2.010999992E-02, 1.245168686E+00
 7.500000000E-01, 2.051969990E-02, 1.244222879E+00
 7.500000000E-01, 2.093774453E-02, 1.243263125E+00
 7.500000000E-01, 2.136431262E-02, 1.242289543E+00
 7.500000000E-01, 2.179956809E-02, 1.241301894E+00
 7.500000000E-01, 2.224368975E-02, 1.240300179E+00
 7.500000000E-01, 2.269686386E-02, 1.239284158E+00
 7.500000000E-01, 2.315926179E-02, 1.238253951E+00
 7.500000000E-01, 2.363108471E-02, 1.237209082E+00
 7.500000000E-01, 2.411251888E-02, 1.236150146E+00
 7.500000000E-01, 2.460376546E-02, 1.235076308E+00
 7.500000000E-01, 2.510501817E-02, 1.233988047E+00
 7.500000000E-01, 2.561648563E-02, 1.232885122E+00
 7.500000000E-01, 2.613836899E-02, 1.231767416E+00
 7.500000000E-01, 2.667088434E-02, 1.230634809E+00
 7.500000000E-01, 2.721424773E-02, 1.229487538E+00
 7.500000000E-01, 2.776868269E-02, 1.228325129E+00
 7.500000000E-01, 2.833441272E-02, 1.227147937E+00
 7.500000000E-01, 2.891167626E-02, 1.225955725E+00
 7.500000000E-01, 2.950068936E-02, 1.224748373E+00
 7.500000000E-01, 3.010170534E-02, 1.223526239E+00
