"x","cp"
 6.001600027E-01 ,-1.004099995E-01
 6.036999822E-01 ,-1.157800034E-01
 6.072400212E-01 ,-1.315200031E-01
 6.107900143E-01 ,-1.476099938E-01
 6.143400073E-01 ,-1.640399992E-01
 6.179000139E-01 ,-1.807799935E-01
 6.214699745E-01 ,-1.978199929E-01
 6.250399947E-01 ,-2.151300013E-01
 6.286100149E-01 ,-2.327000052E-01
 6.322000027E-01 ,-2.504799962E-01
 6.357899904E-01 ,-2.684699893E-01
 6.393799782E-01 ,-2.866100073E-01
 6.429899931E-01 ,-3.048900068E-01
 6.466000080E-01 ,-3.232600093E-01
 6.502100229E-01 ,-3.416900039E-01
 6.538299918E-01 ,-3.601199985E-01
 6.574599743E-01 ,-3.785299957E-01
 6.610999703E-01 ,-3.968600035E-01
 6.647400260E-01 ,-4.150500000E-01
 6.683899760E-01 ,-4.330700040E-01
 6.720499992E-01 ,-4.508599937E-01
 6.757100224E-01 ,-4.683600068E-01
 6.793799996E-01 ,-4.855099916E-01
 6.830499768E-01 ,-5.022699833E-01
 6.867300272E-01 ,-5.185599923E-01
 6.904199719E-01 ,-5.343300104E-01
 6.941099763E-01 ,-5.495200157E-01
 6.978099942E-01 ,-5.640900135E-01
 7.015200257E-01 ,-5.778999925E-01
 7.052199841E-01 ,-5.908899903E-01
 7.089400291E-01 ,-6.031100154E-01
 7.126600146E-01 ,-6.144300103E-01
 7.163800001E-01 ,-6.248400211E-01
 7.200999856E-01 ,-6.342599988E-01
 7.238299847E-01 ,-6.426699758E-01
 7.275699973E-01 ,-6.500099897E-01
 7.312999964E-01 ,-6.561400294E-01
 7.350400090E-01 ,-6.611300111E-01
 7.387800217E-01 ,-6.649900079E-01
 7.425199747E-01 ,-6.676599979E-01
 7.462599874E-01 ,-6.691200137E-01
 7.500000000E-01 ,-6.694499850E-01
 7.537400126E-01 ,-6.684600115E-01
 7.574800253E-01 ,-6.661800146E-01
 7.612199783E-01 ,-6.627900004E-01
 7.649599910E-01 ,-6.582199931E-01
 7.687000036E-01 ,-6.524999738E-01
 7.724300027E-01 ,-6.456900239E-01
 7.761700153E-01 ,-6.377800107E-01
 7.799000144E-01 ,-6.287400126E-01
 7.836199999E-01 ,-6.187199950E-01
 7.873399854E-01 ,-6.077700257E-01
 7.910599709E-01 ,-5.959299803E-01
 7.947800159E-01 ,-5.832599998E-01
 7.984799743E-01 ,-5.698000193E-01
 8.021900058E-01 ,-5.556600094E-01
 8.058900237E-01 ,-5.408200026E-01
 8.095800281E-01 ,-5.253499746E-01
 8.132699728E-01 ,-5.093799829E-01
 8.169500232E-01 ,-4.929499924E-01
 8.206200004E-01 ,-4.761199951E-01
 8.242899776E-01 ,-4.589500129E-01
 8.279500008E-01 ,-4.415099919E-01
 8.316100240E-01 ,-4.238399863E-01
 8.352599740E-01 ,-4.060100019E-01
 8.389000297E-01 ,-3.880800009E-01
 8.425400257E-01 ,-3.700900078E-01
 8.461700082E-01 ,-3.520900011E-01
 8.497899771E-01 ,-3.341400027E-01
 8.533999920E-01 ,-3.162800074E-01
 8.570100069E-01 ,-2.985500097E-01
 8.606200218E-01 ,-2.809799910E-01
 8.642100096E-01 ,-2.636199892E-01
 8.677999973E-01 ,-2.465000004E-01
 8.713899851E-01 ,-2.296500057E-01
 8.749600053E-01 ,-2.130900025E-01
 8.785300255E-01 ,-1.968600005E-01
 8.820999861E-01 ,-1.809599996E-01
 8.856599927E-01 ,-1.654199958E-01
 8.892099857E-01 ,-1.502600014E-01
 8.927599788E-01 ,-1.354800016E-01
 8.963000178E-01 ,-1.211099997E-01
 8.998399973E-01 ,-1.071399972E-01
 9.033700228E-01 ,-9.358400106E-02
 9.068899751E-01 ,-8.044800162E-02
 9.104099870E-01 ,-6.773400307E-02
 9.139199853E-01 ,-5.544000119E-02
 9.174299836E-01 ,-4.356399924E-02
 9.209399819E-01 ,-3.210499883E-02
 9.244300127E-01 ,-2.106299996E-02
 9.279299974E-01 ,-1.043299958E-02
 9.314200282E-01 ,-2.047799935E-04
 9.348999858E-01, 9.627000429E-03
 9.383800030E-01, 1.907099970E-02
 9.418500066E-01, 2.812799998E-02
 9.453200102E-01, 3.682199866E-02
 9.487800002E-01, 4.514800012E-02
 9.522399902E-01, 5.310299993E-02
 9.556900263E-01, 6.072000042E-02
 9.591400027E-01, 6.799499691E-02
 9.625800252E-01, 7.493600249E-02
 9.660199881E-01, 8.156699687E-02
 9.694499969E-01, 8.788199723E-02
 9.728800058E-01, 9.386900067E-02
 9.763000011E-01, 9.956999868E-02
 9.797099829E-01, 1.049700007E-01
 9.831200242E-01, 1.101099998E-01
 9.865199924E-01, 1.149699986E-01
 9.899200201E-01, 1.195299998E-01
 9.933099747E-01, 1.238299981E-01
 9.966899753E-01, 1.278900057E-01
 1.000100017E+00, 1.316899955E-01
 1.003399968E+00, 1.352300048E-01
 1.006800056E+00, 1.385200024E-01
 1.010200024E+00, 1.415999979E-01
 1.013499975E+00, 1.444299966E-01
 1.016899943E+00, 1.470199972E-01
 1.020200014E+00, 1.493799984E-01
 1.023499966E+00, 1.515499949E-01
 1.026800036E+00, 1.534900069E-01
 1.030099988E+00, 1.551800072E-01
 1.033400059E+00, 1.567199975E-01
 1.036700010E+00, 1.580300033E-01
 1.039999962E+00, 1.591099948E-01
 1.043300033E+00, 1.600500047E-01
 1.046599984E+00, 1.607600003E-01
 1.049800038E+00, 1.612900048E-01
 1.053099990E+00, 1.616500020E-01
 1.056300044E+00, 1.618099958E-01
 1.059599996E+00, 1.618299931E-01
 1.062800050E+00, 1.616500020E-01
 1.065999985E+00, 1.613200009E-01
 1.069200039E+00, 1.608500034E-01
 1.072399974E+00, 1.602099985E-01
 1.075600028E+00, 1.594399959E-01
 1.078699946E+00, 1.585199982E-01
 1.081900001E+00, 1.574700028E-01
 1.085000038E+00, 1.562999934E-01
 1.088199973E+00, 1.550000012E-01
 1.091300011E+00, 1.536100060E-01
 1.094400048E+00, 1.520899981E-01
 1.097499967E+00, 1.504900008E-01
 1.100600004E+00, 1.487800032E-01
 1.103700042E+00, 1.469999999E-01
 1.106799960E+00, 1.451500058E-01
 1.109799981E+00, 1.431999952E-01
 1.112900019E+00, 1.412300020E-01
 1.115900040E+00, 1.391700059E-01
 1.118899941E+00, 1.370799989E-01
 1.121999979E+00, 1.349499971E-01
 1.125000000E+00, 1.327700019E-01
 1.128000021E+00, 1.305799931E-01
 1.130900025E+00, 1.283600032E-01
 1.133900046E+00, 1.261200011E-01
 1.136899948E+00, 1.238899976E-01
 1.139799953E+00, 1.216500029E-01
 1.142699957E+00, 1.194100007E-01
 1.145699978E+00, 1.171799973E-01
 1.148599982E+00, 1.149699986E-01
 1.151499987E+00, 1.127799973E-01
 1.154299974E+00, 1.106100008E-01
 1.157199979E+00, 1.084700003E-01
 1.160099983E+00, 1.063600034E-01
 1.162899971E+00, 1.042900011E-01
 1.165799975E+00, 1.022699997E-01
 1.168599963E+00, 1.002900004E-01
 1.171399951E+00, 9.834600240E-02
 1.174200058E+00, 9.645599872E-02
 1.177000046E+00, 9.461999685E-02
 1.179700017E+00, 9.283199906E-02
 1.182500005E+00, 9.110099822E-02
 1.185299993E+00, 8.941999823E-02
 1.187999964E+00, 8.779600263E-02
 1.190700054E+00, 8.622200042E-02
 1.193400025E+00, 8.470500261E-02
 1.196099997E+00, 8.323899657E-02
 1.198799968E+00, 8.182000369E-02
 1.201500058E+00, 8.045200258E-02
 1.204100013E+00, 7.912900299E-02
 1.206799984E+00, 7.784999907E-02
 1.209400058E+00, 7.660800219E-02
 1.212000012E+00, 7.540400326E-02
 1.214699984E+00, 7.423499972E-02
 1.217300057E+00, 7.310300320E-02
 1.219799995E+00, 7.199999690E-02
 1.222399950E+00, 7.092999667E-02
 1.225000024E+00, 6.988999993E-02
 1.227499962E+00, 6.887999922E-02
 1.230000019E+00, 6.789699942E-02
 1.232599974E+00, 6.693699956E-02
 1.235100031E+00, 6.600400060E-02
 1.237599969E+00, 6.509499997E-02
 1.240100026E+00, 6.420999765E-02
 1.242499948E+00, 6.334599853E-02
 1.245000005E+00, 6.250499934E-02
 1.247400045E+00, 6.168299913E-02
 1.249899983E+00, 6.088100001E-02
 1.252300024E+00, 6.010000035E-02
 1.254699945E+00, 5.933700129E-02
 1.257099986E+00, 5.859199911E-02
 1.259500027E+00, 5.786500126E-02
 1.261800051E+00, 5.715300143E-02
 1.264199972E+00, 5.645800009E-02
 1.266499996E+00, 5.577899888E-02
 1.268900037E+00, 5.511400104E-02
 1.271199942E+00, 5.446499959E-02
 1.273499966E+00, 5.383000150E-02
 1.275799990E+00, 5.320699885E-02
