"x","cp"
 1.323110223E+00, 4.201044887E-02
 1.325120449E+00, 4.161659628E-02
 1.327118635E+00, 4.122954234E-02
 1.329104900E+00, 4.084910825E-02
 1.331079125E+00, 4.047512263E-02
 1.333041430E+00, 4.010741785E-02
 1.334991932E+00, 3.974583372E-02
 1.336930394E+00, 3.939021751E-02
 1.338857174E+00, 3.904041275E-02
 1.340772152E+00, 3.869627789E-02
 1.342675328E+00, 3.835766762E-02
 1.344566703E+00, 3.802444413E-02
 1.346446514E+00, 3.769647703E-02
 1.348314643E+00, 3.737363592E-02
 1.350171089E+00, 3.705579042E-02
 1.352015972E+00, 3.674282506E-02
 1.353849292E+00, 3.643461689E-02
 1.355671167E+00, 3.613104671E-02
 1.357481599E+00, 3.583201021E-02
 1.359280586E+00, 3.553739190E-02
 1.361068130E+00, 3.524708748E-02
 1.362844348E+00, 3.496099263E-02
 1.364609241E+00, 3.467900679E-02
 1.366362810E+00, 3.440103680E-02
 1.368105292E+00, 3.412698209E-02
 1.369836450E+00, 3.385674953E-02
 1.371556520E+00, 3.359024972E-02
 1.373265505E+00, 3.332739696E-02
 1.374963284E+00, 3.306809813E-02
 1.376650214E+00, 3.281227872E-02
 1.378326058E+00, 3.255984560E-02
 1.379991055E+00, 3.231073171E-02
 1.381645083E+00, 3.206484765E-02
 1.383288264E+00, 3.182212263E-02
 1.384920597E+00, 3.158248216E-02
 1.386542201E+00, 3.134584799E-02
 1.388153076E+00, 3.111215681E-02
 1.389753342E+00, 3.088133410E-02
 1.391342878E+00, 3.065331280E-02
 1.392921805E+00, 3.042802587E-02
 1.394490242E+00, 3.020540625E-02
 1.396048188E+00, 2.998539433E-02
 1.397595763E+00, 2.976792306E-02
 1.399132848E+00, 2.955293283E-02
 1.400659561E+00, 2.934036218E-02
 1.402175903E+00, 2.913015150E-02
 1.403681993E+00, 2.892224491E-02
 1.405177951E+00, 2.871658280E-02
 1.406663656E+00, 2.851311117E-02
 1.408139229E+00, 2.831177227E-02
 1.409604788E+00, 2.811251208E-02
 1.411060214E+00, 2.791527845E-02
 1.412505746E+00, 2.772001922E-02
 1.413941264E+00, 2.752667852E-02
 1.415366888E+00, 2.733520977E-02
 1.416782618E+00, 2.714555897E-02
 1.418188691E+00, 2.695767581E-02
 1.419584870E+00, 2.677151375E-02
 1.420971394E+00, 2.658702061E-02
 1.422348261E+00, 2.640414983E-02
 1.423715472E+00, 2.622285299E-02
 1.425073266E+00, 2.604308166E-02
 1.426421404E+00, 2.586478926E-02
 1.427760124E+00, 2.568792738E-02
 1.429089427E+00, 2.551245131E-02
 1.430409312E+00, 2.533831261E-02
 1.431719899E+00, 2.516546659E-02
 1.433021188E+00, 2.499386296E-02
 1.434313297E+00, 2.482346073E-02
 1.435596228E+00, 2.465420961E-02
 1.436869979E+00, 2.448606305E-02
 1.438134670E+00, 2.431897633E-02
 1.439390421E+00, 2.415289916E-02
 1.440637112E+00, 2.398778871E-02
 1.441874743E+00, 2.382359281E-02
 1.443103671E+00, 2.366026677E-02
 1.444323659E+00, 2.349776030E-02
 1.445534945E+00, 2.333602495E-02
 1.446737409E+00, 2.317500673E-02
 1.447931170E+00, 2.301465906E-02
 1.449116349E+00, 2.285492979E-02
 1.450292826E+00, 2.269576117E-02
 1.451460838E+00, 2.253710292E-02
 1.452620268E+00, 2.237889729E-02
 1.453771353E+00, 2.222108655E-02
 1.454913974E+00, 2.206361108E-02
 1.456048250E+00, 2.190640941E-02
 1.457174182E+00, 2.174942009E-02
 1.458291888E+00, 2.159257419E-02
 1.459401369E+00, 2.143580280E-02
 1.460502625E+00, 2.127903327E-02
 1.461595893E+00, 2.112219110E-02
 1.462680936E+00, 2.096519619E-02
 1.463758111E+00, 2.080796286E-02
 1.464827180E+00, 2.065040357E-02
 1.465888381E+00, 2.049242333E-02
 1.466941714E+00, 2.033392154E-02
 1.467987180E+00, 2.017479017E-02
 1.469024777E+00, 2.001491189E-02
 1.470054746E+00, 1.985416375E-02
 1.471076965E+00, 1.969240978E-02
 1.472091556E+00, 1.952950656E-02
 1.473098636E+00, 1.936529204E-02
 1.474098086E+00, 1.919959113E-02
 1.475089908E+00, 1.903221384E-02
 1.476074457E+00, 1.886294968E-02
 1.477051497E+00, 1.869156212E-02
 1.478021145E+00, 1.851779222E-02
 1.478983521E+00, 1.834134571E-02
 1.479938626E+00, 1.816189475E-02
 1.480886459E+00, 1.797906868E-02
 1.481827140E+00, 1.779243909E-02
 1.482760668E+00, 1.760152541E-02
 1.483687043E+00, 1.740575954E-02
 1.484606385E+00, 1.720449142E-02
 1.485518813E+00, 1.699696481E-02
 1.486424208E+00, 1.678230055E-02
 1.487322688E+00, 1.655947231E-02
 1.488214374E+00, 1.632717997E-02
 1.489099145E+00, 1.608369499E-02
 1.489977121E+00, 1.582648046E-02
 1.490848422E+00, 1.555254590E-02
 1.491712928E+00, 1.525889523E-02
 1.492570877E+00, 1.494623348E-02
 1.493422151E+00, 1.461702585E-02
 1.494266987E+00, 1.427656785E-02
 1.495105147E+00, 1.389506646E-02
 1.495936871E+00, 1.340959128E-02
 1.496762276E+00, 1.263995469E-02
 1.497581124E+00, 1.153718214E-02
 1.498393774E+00, 1.009956188E-02
 1.499199986E+00, 9.284939617E-03
 1.500000000E+00, 2.824528143E-03
