 "x","y","mut"
 7.500003741E-01, 5.044426113E-02, 2.511975028E+01
 7.500003741E-01, 5.045332575E-02, 2.555852882E+01
 7.500003741E-01, 5.046257477E-02, 2.600167820E+01
 7.500003741E-01, 5.047201195E-02, 2.644921066E+01
 7.500003741E-01, 5.048164113E-02, 2.690113574E+01
 7.500003741E-01, 5.049146623E-02, 2.735746024E+01
 7.500003741E-01, 5.050149125E-02, 2.781818819E+01
 7.500003741E-01, 5.051172026E-02, 2.828332078E+01
 7.500003741E-01, 5.052215742E-02, 2.875285630E+01
 7.500003741E-01, 5.053280699E-02, 2.922679015E+01
 7.500003741E-01, 5.054367328E-02, 2.970511474E+01
 7.500003741E-01, 5.055476073E-02, 3.018781949E+01
 7.500003741E-01, 5.056607383E-02, 3.067489076E+01
 7.500003741E-01, 5.057761720E-02, 3.116631181E+01
 7.500003741E-01, 5.058939553E-02, 3.166206277E+01
 7.500003741E-01, 5.060141361E-02, 3.216212061E+01
 7.500003741E-01, 5.061367632E-02, 3.266645907E+01
 7.500003741E-01, 5.062618867E-02, 3.317504864E+01
 7.500003741E-01, 5.063895572E-02, 3.368785648E+01
 7.500003741E-01, 5.065198269E-02, 3.420484647E+01
 7.500003741E-01, 5.066527487E-02, 3.472597906E+01
 7.500003741E-01, 5.067883766E-02, 3.525121128E+01
 7.500003741E-01, 5.069267659E-02, 3.578049673E+01
 7.500003741E-01, 5.070679727E-02, 3.631378546E+01
 7.500003741E-01, 5.072120546E-02, 3.685102400E+01
 7.500003741E-01, 5.073590702E-02, 3.739215526E+01
 7.500003741E-01, 5.075090792E-02, 3.793711854E+01
 7.500003741E-01, 5.076621428E-02, 3.848584944E+01
 7.500003741E-01, 5.078183230E-02, 3.903827987E+01
 7.500003741E-01, 5.079776836E-02, 3.959433793E+01
 7.500003741E-01, 5.081402892E-02, 4.015394795E+01
 7.500003741E-01, 5.083062061E-02, 4.071703039E+01
 7.500003741E-01, 5.084755017E-02, 4.128350182E+01
 7.500003741E-01, 5.086482449E-02, 4.185327487E+01
 7.500003741E-01, 5.088245060E-02, 4.242625818E+01
 7.500003741E-01, 5.090043566E-02, 4.300235639E+01
 7.500003741E-01, 5.091878699E-02, 4.358147005E+01
 7.500003741E-01, 5.093751206E-02, 4.416349562E+01
 7.500003741E-01, 5.095661849E-02, 4.474832540E+01
 7.500003741E-01, 5.097611404E-02, 4.533584750E+01
 7.500003741E-01, 5.099600665E-02, 4.592594581E+01
 7.500003741E-01, 5.101630440E-02, 4.651849993E+01
 7.500003741E-01, 5.103701556E-02, 4.711338517E+01
 7.500003741E-01, 5.105814854E-02, 4.771047247E+01
 7.500003741E-01, 5.107971195E-02, 4.830962837E+01
 7.500003741E-01, 5.110171456E-02, 4.891071502E+01
 7.500003741E-01, 5.112416531E-02, 4.951359007E+01
 7.500003741E-01, 5.114707335E-02, 5.011810667E+01
 7.500003741E-01, 5.117044797E-02, 5.072411342E+01
 7.500003741E-01, 5.119429871E-02, 5.133145436E+01
 7.500003741E-01, 5.121863525E-02, 5.193996887E+01
 7.500003741E-01, 5.124346750E-02, 5.254949171E+01
 7.500003741E-01, 5.126880555E-02, 5.315985289E+01
 7.500003741E-01, 5.129465972E-02, 5.377087771E+01
 7.500003741E-01, 5.132104052E-02, 5.438238666E+01
 7.500003741E-01, 5.134795868E-02, 5.499419541E+01
 7.500003741E-01, 5.137542515E-02, 5.560611472E+01
 7.500003741E-01, 5.140345111E-02, 5.621795042E+01
 7.500003741E-01, 5.143204795E-02, 5.682950336E+01
 7.500003741E-01, 5.146122731E-02, 5.744056932E+01
 7.500003741E-01, 5.149100105E-02, 5.805093896E+01
 7.500003741E-01, 5.152138129E-02, 5.866039774E+01
 7.500003741E-01, 5.155238038E-02, 5.926872585E+01
 7.500003741E-01, 5.158401094E-02, 5.987569810E+01
 7.500003741E-01, 5.161628583E-02, 6.048108384E+01
 7.500003741E-01, 5.164921817E-02, 6.108464686E+01
 7.500003741E-01, 5.168282138E-02, 6.168614522E+01
 7.500003741E-01, 5.171710910E-02, 6.228533116E+01
 7.500003741E-01, 5.175209530E-02, 6.288195093E+01
 7.500003741E-01, 5.178779420E-02, 6.347574461E+01
 7.500003741E-01, 5.182422032E-02, 6.406644593E+01
 7.500003741E-01, 5.186138849E-02, 6.465378207E+01
 7.500003741E-01, 5.189931381E-02, 6.523747340E+01
 7.500003741E-01, 5.193801172E-02, 6.581723323E+01
 7.500003741E-01, 5.197749796E-02, 6.639276752E+01
 7.500003741E-01, 5.201778858E-02, 6.696377456E+01
 7.500003741E-01, 5.205889999E-02, 6.752994461E+01
 7.500003741E-01, 5.210084890E-02, 6.809095950E+01
 7.500003741E-01, 5.214365237E-02, 6.864649224E+01
 7.500003741E-01, 5.218732782E-02, 6.919620647E+01
