"x","y","m","v"
0.75, 0.0500151865169, 5.511239456883551e-08, 9.660743036872315
0.75, 0.0500157717123, 6.408369627904257e-08, 10.031918624050777
0.75, 0.0500163633233, 7.421975534453664e-08, 10.406957265146508
0.75, 0.0500169615904, 8.564181681133976e-08, 10.785981606147603
0.75, 0.0500175667569, 9.848178596316698e-08, 11.169112432886438
0.75, 0.0500181790691, 1.128830972054477e-07, 11.556468408640036
0.75, 0.0500187987761, 1.290016389553711e-07, 11.948165522800181
0.75, 0.0500194261298, 1.470067492541814e-07, 12.344316626445217
0.75, 0.0500200613855, 1.670823023317461e-07, 12.745031302441634
0.75, 0.0500207048016, 1.894278489127512e-07, 13.150415123884128
0.75, 0.0500213566398, 2.142598508633077e-07, 13.560569178870992
0.75, 0.0500220171653, 2.418130037699833e-07, 13.97558954378224
0.75, 0.0500226866467, 2.723416380433028e-07, 14.395566514971566
0.75, 0.0500233653564, 3.061212359892999e-07, 14.82058409672502
0.75, 0.0500240535705, 3.434500273700724e-07, 15.25071911803839
0.75, 0.0500247515688, 3.846506891357076e-07, 15.686040352434542
0.75, 0.0500254596354, 4.300721888602764e-07, 16.126607948269577
0.75, 0.0500261780582, 4.800916751249603e-07, 16.572472113868898
0.75, 0.0500269071295, 5.351165480667942e-07, 17.02367242288214
0.75, 0.0500276471458, 5.95586595803864e-07, 17.480236563453126
0.75, 0.0500283984082, 6.61976292881872e-07, 17.942179399049824
0.75, 0.0500291612222, 7.347971706351326e-07, 18.409501606176804
0.75, 0.0500299358982, 8.14600368448556e-07, 18.882188691709594
0.75, 0.0500307227512, 9.019792291279461e-07, 19.360209480754932
0.75, 0.0500315221014, 9.975721011297552e-07, 19.84351511969679
0.75, 0.0500323342738, 1.102065143952954e-06, 20.332037454672204
0.75, 0.0500331595989, 1.21619536698694e-06, 20.825688067793966
0.75, 0.0500339984124, 1.3407536444564e-06, 21.324356725206027
0.75, 0.0500348510554, 1.476587871618543e-06, 21.827910160487885
0.75, 0.0500357178748, 1.624606229882158e-06, 22.336191030252547
0.75, 0.0500365992232, 1.785780428832183e-06, 22.849016658544343
0.75, 0.0500374954592, 1.961149042920829e-06, 23.36617812931285
0.75, 0.0500384069472, 2.151820757739928e-06, 23.887439236882226
0.75, 0.050039334058, 2.358977746456335e-06, 24.41253607557075
0.75, 0.0500402771688, 2.583878876896818e-06, 24.94117649770752
0.75, 0.0500412366632, 2.82786280549905e-06, 25.473039828672366
0.75, 0.0500422129314, 3.092350965447508e-06, 26.007776984747878
0.75, 0.0500432063707, 3.378850449235951e-06, 26.54501107311879
0.75, 0.050044217385, 3.688956357315147e-06, 27.084337805721344
0.75, 0.0500452463857, 4.02435422507845e-06, 27.625327050822097
0.75, 0.0500462937914, 4.38682172130582e-06, 28.167524141554075
0.75, 0.050047360028, 4.77822998350033e-06, 28.710451823862343
0.75, 0.0500484455293, 5.200544606219736e-06, 29.25361287568766
0.75, 0.0500495507368, 5.65582573035912e-06, 29.796492730186387
0.75, 0.0500506761001, 6.146227649364679e-06, 30.33856279852415
0.75, 0.0500518220771, 6.673997567037923e-06, 30.87928405097886
0.75, 0.0500529891337, 7.241473241349113e-06, 31.418110689157356
0.75, 0.0500541777448, 7.851080285137225e-06, 31.95449468760308
0.75, 0.0500553883938, 8.505327737353941e-06, 32.48788983149593
0.75, 0.0500566215732, 9.206803064401497e-06, 33.017756380045064
0.75, 0.0500578777846, 9.958165701781454e-06, 33.543565491101404
0.75, 0.0500591575391, 1.07621396086266e-05, 34.064803762826735
0.75, 0.0500604613571, 1.162150420711116e-05, 34.58097738316105
0.75, 0.050061789769, 1.253908461612209e-05, 35.091616410861306
0.75, 0.0500631433153, 1.351774026770457e-05, 35.59627848602519
0.75, 0.0500645225464, 1.456035202636997e-05, 36.09455204941276
0.75, 0.0500659280234, 1.566980883163701e-05, 36.58605947621328
0.75, 0.050067360318, 1.684899256972872e-05, 37.07045936645849
0.75, 0.0500688200129, 1.810076228446819e-05, 37.54744847647899
0.75, 0.0500703077017, 1.942793705991097e-05, 38.01676292512859
0.75, 0.0500718239897, 2.083327892858414e-05, 38.47817912705533
0.75, 0.0500733694936, 2.231947424248093e-05, 38.931513823695774
0.75, 0.0500749448421, 2.388911547512973e-05, 39.376623873700915
0.75, 0.050076550676, 2.554468243207209e-05, 39.813405402040786
0.75, 0.0500781876485, 2.728852375949529e-05, 40.24179257153117
