"x","y","m","v","k","o"
0.75, 0.0500269071295, 1.143475199328675e-06, 16.123635527136507, 4.477843267496466, 3045257.599436953
0.75, 0.0500276471458, 1.29330024097386e-06, 16.54375960963809, 4.842313108629227, 2911672.901216199
0.75, 0.0500283984082, 1.458268447208522e-06, 16.966885486841253, 5.226109942158545, 2787003.828314172
0.75, 0.0500291612222, 1.639324591602631e-06, 17.39280593697133, 5.629240864329977, 2670478.334223859
0.75, 0.0500299358982, 1.837404854560912e-06, 17.8212955040922, 6.05159522277573, 2561398.340537256
0.75, 0.0500307227512, 2.053429618262948e-06, 18.25211183310873, 6.492939188087267, 2459131.820579965
0.75, 0.0500315221014, 2.288296773507438e-06, 18.684997822587647, 6.95291286408657, 2363105.831890049
0.75, 0.0500323342738, 2.542875239846495e-06, 19.119683517791476, 7.431029112937219, 2272800.589941701
0.75, 0.0500331595989, 2.817999461274335e-06, 19.555888838556598, 7.926675412296669, 2187744.167077608
0.75, 0.0500339984124, 3.114464421185647e-06, 19.993325952273672, 8.43911758791731, 2107507.950482463
0.75, 0.0500348510554, 3.433021732096488e-06, 20.4317020376978, 8.967506233254817, 2031702.575802722
0.75, 0.0500357178748, 3.774376830381965e-06, 20.87072219684413, 9.510885514183455, 1959974.30014554
0.75, 0.0500365992232, 4.13918704571012e-06, 21.310092089539207, 10.06820368352628, 1892001.802651291
0.75, 0.0500374954592, 4.528060868837113e-06, 21.749520686329458, 10.63832554451301, 1827493.271369351
0.75, 0.0500384069472, 4.941558010066876e-06, 22.18872262847205, 11.2200459277227, 1766183.802181716
0.75, 0.050039334058, 5.380190724348943e-06, 22.62742077776113, 11.81210459609679, 1707832.976061899
0.75, 0.0500402771688, 5.844425697177812e-06, 23.065348224698692, 12.4132012607942, 1652222.687146622
0.75, 0.0500412366632, 6.334686587076944e-06, 23.502250028835636, 13.02201066838093, 1599155.14727497
0.75, 0.0500422129314, 6.851357185836425e-06, 23.93788476019168, 13.63719749687783, 1548451.038387235
0.75, 0.0500432063707, 7.39478512549182e-06, 24.372025864009807, 14.25743076786556, 1499947.797585178
0.75, 0.050044217385, 7.965285272437377e-06, 24.804462284781298, 14.88139666382777, 1453498.086061865
0.75, 0.0500452463857, 8.56314396081125e-06, 25.234999413430977, 15.50781102378271, 1408968.312081479
0.75, 0.0500462937914, 9.188622528708291e-06, 25.663459240261318, 16.13542971951691, 1366237.328350258
0.75, 0.050047360028, 9.841960899432413e-06, 26.089680444828623, 16.76305781934244, 1325195.215922915
0.75, 0.0500484455293, 1.052338122535513e-05, 26.5135184636271, 17.38955752841739, 1285742.152171415
0.75, 0.0500495507368, 1.123309072646667e-05, 26.93484504683294, 18.01385414260136, 1247787.407199865
0.75, 0.0500506761001, 1.197128451412514e-05, 27.35354789843575, 18.63494090009011, 1211248.407654643
0.75, 0.0500518220771, 1.273814788014777e-05, 27.76953010666494, 19.25188233912741, 1176049.89434125
0.75, 0.0500529891337, 1.353385779733544e-05, 28.18270930199904, 19.86381613584802, 1142123.174188258
0.75, 0.0500541777448, 1.435858483921909e-05, 28.593017210449606, 20.46995450987232, 1109405.407538826
0.75, 0.0500553883938, 1.52124936342667e-05, 29.0003986210383, 21.06958383715208, 1077839.010099785
0.75, 0.0500566215732, 1.609574361247733e-05, 29.404810716900794, 21.66206400369046, 1047371.086919235
0.75, 0.0500578777846, 1.700393524391856e-05, 29.806248102846183, 22.24685635336621, 1017951.52814914
0.75, 0.0500591575391, 1.788469087641506e-05, 30.20502805592698, 22.82385504957732, 989516.9927398645
0.75, 0.0500604613571, 1.878739944613863e-05, 30.601463141543512, 23.39311646711167, 962004.9138392531
0.75, 0.050061789769, 1.972069288981952e-05, 30.995544793219494, 23.9542524738471, 935369.6373752989
0.75, 0.0500631433153, 2.068661263150844e-05, 31.387218812957375, 24.50683967368834, 909571.0147836684
0.75, 0.0500645225464, 2.168609585419211e-05, 31.776428648521886, 25.0504836234906, 884572.3678946475
0.75, 0.0500659280234, 2.271988785737853e-05, 32.16312257530789, 25.58482912885368, 860339.8935178918
0.75, 0.050067360318, 2.378869869796783e-05, 32.54725468507631, 26.10956111781431, 836842.3406518936
0.75, 0.0500688200129, 2.489323089097071e-05, 32.92878499929325, 26.62440399438097, 814050.7419931438
0.75, 0.0500703077017, 2.603418416942074e-05, 33.307679255911935, 27.12912034042679, 791938.1842015034
